,iqr_weeks,weighted_mean_weeks,first_harvest,end_harvest,uncertainty
0,4,18.17009750812568,11,22,1.0498751908985686
11,2,16.101398929677966,10,18,0.6455839036329284
12,3,15.972523440684876,11,19,0.7095227083188085
13,4,16.54646017699115,10,19,0.2781802725952706
14,1,14.495412844036696,11,15,0.7943342662409437
15,4,17.1188034591938,10,19,0.8992611906383273
17,3,16.20689655172414,11,19,0.2040239414107151
18,1,16.684546615581098,11,18,0.4796214092786822
19,1,14.0,11,19,0.7710925197436467
20,3,15.291139240506329,13,16,0.8476661385868792
21,2,15.75914952945277,10,19,0.8626317617969393
22,5,16.388429752066116,11,19,0.43298123457604815
23,3,15.129589632829374,11,19,0.3006020249040438
24,2,18.49379652605459,11,19,0.6013627722820556
25,3,17.420323325635103,12,19,0.5407223820807336
26,2,14.273098519652883,10,19,0.6615534618827781
27,1,15.809830382567785,9,18,0.6118027527473853
28,2,16.817934782608695,9,17,0.5497227838322298
29,2,15.720689655172414,9,16,0.7415472221032353
30,2,15.257816909357715,8,17,1.1537569077309724
32,2,15.53004622496148,9,17,0.6620556115021684
33,2,15.971428571428572,11,17,0.48931030979052625
34,3,15.096469458009768,8,17,0.6393015886308723
35,1,15.64102564102564,11,17,0.6652791379136455
36,2,16.622437971952536,11,18,0.319360241088114
37,3,16.458474004051318,9,18,0.4403854540874031
38,3,17.121019108280255,9,20,0.5638896760841412
39,3,17.034848484848485,10,20,0.5051160672062751
40,0,13.0,12,12,1.4224385936344959
41,4,16.61084745762712,9,21,0.9253405864699118
42,3,17.359094457455114,9,22,0.9215881034242942
43,4,17.20842105263158,11,20,0.31324861626040446
45,3,17.35070231082918,9,21,1.260353622348044
46,1,20.897058823529413,12,21,0.695921762856885
47,5,18.12,13,20,0.5941189731157535
48,3,17.008928571428573,9,21,0.5919524960562946
49,2,18.650590551181104,9,20,0.6449695312001016
50,3,16.695550351288055,10,18,0.6339350049822117
51,1,19.235537190082646,9,21,0.6603886372157245
52,3,17.06875,10,19,0.404652532678602
53,4,16.84431137724551,9,20,0.4883170984201047
54,1,18.09490156486623,10,20,0.9554237720460648
56,2,18.754537205081668,10,22,1.1988114688452052
57,3,19.18549346016647,9,21,0.9735535064426916
58,2,18.14189189189189,10,21,1.0738236873415317
59,4,16.393034825870647,8,21,0.8051106173480699
60,3,16.431616341030196,8,20,0.8199084397984735
61,4,17.367015098722415,9,21,0.6600113265413905
62,2,17.000919963201472,9,19,0.6130597588655553
63,5,15.835051546391753,9,20,0.5644825862855619
64,3,16.45205479452055,13,19,0.3894613769433671
65,3,17.482608695652175,9,20,0.4916241672145824
66,3,16.95045045045045,9,20,0.5637119827391538
67,2,17.012345679012345,10,19,0.35012588231317054
68,1,17.9,9,20,0.7655884389839146
70,3,15.963709677419354,10,18,0.5341292881033828
71,3,16.665757906215923,10,19,0.9037128889076339
72,0,14.0,13,13,1.3203029119607126
73,4,19.05253283302064,14,23,1.1507880843563865
74,2,19.196787148594378,13,21,0.5084038945390728
75,5,18.1044921875,13,23,0.6817308054586737
76,5,17.94871794871795,13,21,0.519400155204706
77,4,18.557692307692307,13,21,0.5105151602507418
78,5,17.80188679245283,13,21,0.510202067634475
83,3,19.091463414634145,13,26,1.0234556287232035
84,2,16.98076923076923,12,19,0.3156403888384862
85,3,18.295454545454547,13,20,0.4014333371624712
87,5,19.184745762711863,11,26,1.3287074019091638
88,3,18.41425389755011,11,26,1.290055231848776
89,5,18.99056603773585,12,26,1.0407622113768449
90,2,18.511904761904763,13,26,0.8307181266385385
91,2,18.394736842105264,13,26,0.7223930042359754
92,4,18.59922178988327,11,26,1.3807022450545239
93,1,17.614035087719298,15,18,0.7925129182265838
95,6,21.360078277886497,14,27,1.1148805777355726
96,2,18.47334410339257,14,29,1.3872850142628328
97,3,16.52376033057851,10,19,0.4137749509429077
98,3,16.547511312217196,10,19,0.493438584323958
99,2,16.595652173913045,9,18,0.45719985437124616
100,2,16.775374376039935,9,19,0.4867657860658235
102,2,16.542857142857144,11,17,0.43783525713939975
103,5,17.617021276595743,13,18,0.8284779060038502
106,3,19.383490073145246,12,29,1.2540596125599879
107,3,19.04032258064516,14,29,1.359236261546601
110,1,18.20689655172414,15,19,0.7929106800313958
111,0,19.92387543252595,13,20,0.8802482631073186
112,2,18.25925925925926,15,18,0.8044531260671622
113,0,14.0,13,13,1.3252598526247241
