,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,21.428501,2012-01-01 00:00:00+00:00,21.428501,11.478499,0.0,0.0,13.38,2.6617992,33200.848,0.0,0.0,13.1041975
1,22.428501,2012-01-02 00:00:00+00:00,22.428501,11.3785,0.0,0.0,13.35,2.7527652,33234.21,0.0,0.0,12.768586
2,20.8285,2012-01-03 00:00:00+00:00,20.8285,12.4285,0.0,0.0,13.02,2.3727403,33270.586,3.0,0.0,17.238699
3,23.528502,2012-01-04 00:00:00+00:00,23.528502,11.978499,0.0,0.0,13.57,2.595287,33309.918,0.0,0.0,11.841756
4,24.3785,2012-01-05 00:00:00+00:00,24.3785,12.728499,0.0,0.0,13.42,3.2336082,33352.094,2.0,0.0,13.849476
5,20.7285,2012-01-06 00:00:00+00:00,20.7285,11.6785,0.0,0.0,13.19,2.393776,33397.06,3.0,0.0,9.0645685
6,17.2285,2012-01-07 00:00:00+00:00,17.2285,12.0785,0.0,0.0,12.23,1.6781112,33444.723,3.0,0.0,10.97262
7,18.4785,2012-01-08 00:00:00+00:00,18.4785,10.728499,0.0,0.0,14.11,2.6324637,33495.0,3.0,0.0,17.477621
8,19.028502,2012-01-09 00:00:00+00:00,19.028502,10.3285,0.0,0.0,14.06,3.0605636,33547.824,0.0,0.0,14.458382
9,17.7285,2012-01-10 00:00:00+00:00,17.7285,9.4285,0.0,0.0,13.69,2.3903635,33603.1,3.0,0.0,11.620809
10,17.3785,2012-01-11 00:00:00+00:00,17.3785,9.5785,0.0,0.0,10.15,1.7633957,31330.209,3.0,0.0,14.973576
11,18.028502,2012-01-12 00:00:00+00:00,18.028502,12.2785,0.0,0.0,10.85,1.8661082,27788.234,3.0,0.0,11.165805
12,20.278502,2012-01-13 00:00:00+00:00,20.278502,11.228499,0.0,0.0,14.18,3.0310144,33782.875,3.0,0.0,12.313893
13,18.4785,2012-01-14 00:00:00+00:00,18.4785,11.3785,0.0,0.0,10.09,2.6060228,27886.7,3.0,0.0,11.043261
14,16.1285,2012-01-15 00:00:00+00:00,16.1285,12.0285,0.1,0.1,9.77,1.7519255,25883.105,51.0,1.0,13.276144
15,14.8785,2012-01-16 00:00:00+00:00,14.8785,12.5785,4.6,4.6,6.81,1.1826082,23349.27,55.0,13.0,18.175545
16,13.6785,2012-01-17 00:00:00+00:00,13.6785,8.9285,0.0,0.0,13.8,1.9186198,29673.168,3.0,0.0,16.62249
17,17.0785,2012-01-18 00:00:00+00:00,17.0785,7.6785,0.0,0.0,14.88,2.3832207,34126.15,1.0,0.0,14.565548
18,16.928501,2012-01-19 00:00:00+00:00,16.928501,9.2785,0.0,0.0,15.07,2.4924438,34202.42,0.0,0.0,14.039999
19,16.5785,2012-01-20 00:00:00+00:00,16.5785,9.6285,0.0,0.0,14.31,2.4045038,34281.25,3.0,0.0,18.998316
20,15.1285,2012-01-21 00:00:00+00:00,15.1285,11.3285,2.1,2.1,5.52,0.92662674,7274.9194,53.0,5.0,21.629978
21,15.3285,2012-01-22 00:00:00+00:00,15.3285,8.8285,0.0,0.0,13.42,1.9278462,34445.992,3.0,0.0,18.289274
22,14.978499,2012-01-23 00:00:00+00:00,14.978499,10.228499,1.1,1.1,8.05,1.2387457,26733.5,53.0,3.0,19.829433
23,16.5285,2012-01-24 00:00:00+00:00,16.5285,10.228499,4.5999994,4.5999994,13.78,1.8725433,33166.477,61.0,8.0,21.868332
24,21.528502,2012-01-25 00:00:00+00:00,21.528502,12.2785,0.0,0.0,15.27,3.1799676,34708.75,3.0,0.0,19.35314
25,21.3285,2012-01-26 00:00:00+00:00,21.3285,11.978499,0.0,0.0,15.54,3.3245575,34799.97,0.0,0.0,14.658676
26,21.4785,2012-01-27 00:00:00+00:00,21.4785,11.7785,0.0,0.0,15.36,2.555046,34892.777,1.0,0.0,12.979984
27,22.278502,2012-01-28 00:00:00+00:00,22.278502,16.778502,0.0,0.0,16.42,5.206371,34987.055,0.0,0.0,17.072504
28,22.7285,2012-01-29 00:00:00+00:00,22.7285,12.1785,0.0,0.0,16.52,4.9122343,35082.67,3.0,0.0,16.78156
29,20.178501,2012-01-30 00:00:00+00:00,20.178501,11.228499,0.0,0.0,16.27,3.1300256,35179.504,3.0,0.0,11.681987
30,16.4785,2012-01-31 00:00:00+00:00,16.4785,10.8285,0.0,0.0,16.06,2.2980292,35277.434,3.0,0.0,10.308831
31,17.3785,2012-02-01 00:00:00+00:00,17.3785,9.5285,0.0,0.0,15.2,2.38577,35376.336,3.0,0.0,19.681828
32,15.8285,2012-02-02 00:00:00+00:00,15.8285,9.4285,0.0,0.0,16.1,2.3355544,35476.11,2.0,0.0,14.05845
33,18.278502,2012-02-03 00:00:00+00:00,18.278502,10.6285,0.0,0.0,16.51,2.856512,35576.617,2.0,0.0,15.379206
34,18.5785,2012-02-04 00:00:00+00:00,18.5785,10.6285,0.0,0.0,16.48,3.3439808,35677.766,3.0,0.0,13.441071
35,19.1285,2012-02-05 00:00:00+00:00,19.1285,10.478499,0.0,0.0,16.99,3.2074099,35779.6,3.0,0.0,13.004921
36,18.5785,2012-02-06 00:00:00+00:00,18.5785,10.228499,0.0,0.0,15.49,2.832889,35882.945,3.0,0.0,13.441071
37,16.678501,2012-02-07 00:00:00+00:00,16.678501,12.5785,0.5,0.5,7.64,1.7906225,8601.9375,53.0,1.0,27.74103
38,16.7285,2012-02-08 00:00:00+00:00,16.7285,12.728499,14.799999,14.799999,14.72,2.242234,28800.0,63.0,14.0,23.507751
39,21.028502,2012-02-09 00:00:00+00:00,21.028502,11.978499,0.0,0.0,17.18,3.3598871,36000.0,0.0,0.0,17.377226
40,20.028502,2012-02-10 00:00:00+00:00,20.028502,11.2785,0.0,0.0,17.41,3.0996547,36000.0,1.0,0.0,16.179985
41,16.8285,2012-02-11 00:00:00+00:00,16.8285,12.228499,0.0,0.0,13.4,1.8270447,36000.0,3.0,0.0,21.288757
42,13.978499,2012-02-12 00:00:00+00:00,13.978499,11.7785,1.5000001,1.5000001,9.52,1.5703256,33163.105,51.0,12.0,18.486622
43,14.3285,2012-02-13 00:00:00+00:00,14.3285,11.1285,0.1,0.1,11.49,1.7028779,35573.707,51.0,1.0,17.418196
44,13.5285,2012-02-14 00:00:00+00:00,13.5285,9.3285,6.6000004,6.6000004,12.84,2.1429381,36000.0,61.0,15.0,20.945072
45,13.228499,2012-02-15 00:00:00+00:00,13.228499,8.978499,0.6,0.6,11.57,1.6901348,35573.758,51.0,5.0,21.142147
46,15.7785,2012-02-16 00:00:00+00:00,15.7785,7.7285004,3.6999998,3.6999998,15.26,2.4291365,32960.73,61.0,5.0,25.233404
47,17.0785,2012-02-17 00:00:00+00:00,17.0785,9.6285,0.0,0.0,18.84,3.1646461,36172.4,0.0,0.0,20.898613
48,16.6285,2012-02-18 00:00:00+00:00,16.6285,9.4285,0.0,0.0,18.51,2.4232714,36342.508,2.0,0.0,16.92383
