,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,26.339499,2012-01-01 00:00:00+00:00,26.339499,7.7895,0.0,0.0,13.46,3.4803975,33107.477,0.0,0.0,15.844089
1,27.1395,2012-01-02 00:00:00+00:00,27.1395,8.4395,0.0,0.0,13.38,3.8254528,33141.234,0.0,0.0,15.141414
2,27.7895,2012-01-03 00:00:00+00:00,27.7895,8.7895,0.0,0.0,13.05,3.4720738,33178.043,3.0,0.0,13.1041975
3,27.1395,2012-01-04 00:00:00+00:00,27.1395,8.3895,0.0,0.0,13.63,3.7415268,33217.832,0.0,0.0,14.707222
4,26.4895,2012-01-05 00:00:00+00:00,26.4895,8.0395,0.0,0.0,13.33,3.8813567,33260.516,3.0,0.0,13.441071
5,24.0395,2012-01-06 00:00:00+00:00,24.0395,10.8395,0.0,0.0,13.54,2.993472,33306.008,3.0,0.0,10.739833
6,20.839499,2012-01-07 00:00:00+00:00,20.839499,9.4895,0.0,0.0,13.48,3.0034094,33354.234,0.0,0.0,10.483357
7,17.0395,2012-01-08 00:00:00+00:00,17.0395,7.0895004,0.0,0.0,14.21,3.674982,33405.1,1.0,0.0,23.675303
8,18.689499,2012-01-09 00:00:00+00:00,18.689499,3.3895,0.0,0.0,14.06,3.5398066,33458.547,0.0,0.0,15.7908325
9,20.5395,2012-01-10 00:00:00+00:00,20.5395,2.3895001,0.0,0.0,13.92,2.712576,33514.473,3.0,0.0,9.36
10,20.2395,2012-01-11 00:00:00+00:00,20.2395,4.7895,0.0,0.0,10.57,2.3704393,33538.348,3.0,0.0,8.311245
11,20.189499,2012-01-12 00:00:00+00:00,20.189499,6.6895,0.0,0.0,11.58,2.6632366,27348.527,3.0,0.0,10.028439
12,20.189499,2012-01-13 00:00:00+00:00,20.189499,4.5395,0.0,0.0,14.52,4.237348,33696.35,2.0,0.0,24.606731
13,19.0395,2012-01-14 00:00:00+00:00,19.0395,4.1394997,0.0,0.0,9.93,3.2116818,26352.14,3.0,0.0,13.1041975
14,16.5395,2012-01-15 00:00:00+00:00,16.5395,8.7395,0.0,0.0,9.99,2.4510589,24701.795,3.0,0.0,16.323528
15,13.3395,2012-01-16 00:00:00+00:00,13.3395,7.5895004,1.5000001,1.5000001,6.8,1.0278391,31273.588,53.0,7.0,15.077082
16,15.9895,2012-01-17 00:00:00+00:00,15.9895,1.9895,0.0,0.0,13.79,2.1542659,31600.488,3.0,0.0,11.983188
17,20.8895,2012-01-18 00:00:00+00:00,20.8895,1.5395,0.0,0.0,14.94,2.813238,34043.617,0.0,0.0,10.08
18,21.6395,2012-01-19 00:00:00+00:00,21.6395,9.4895,0.0,0.0,15.16,3.1604984,34120.777,0.0,0.0,11.885453
19,20.339499,2012-01-20 00:00:00+00:00,20.339499,10.0895,0.0,0.0,14.27,2.9864936,34200.52,3.0,0.0,13.722565
20,16.7895,2012-01-21 00:00:00+00:00,16.7895,8.9395,2.8000002,2.8000002,5.52,0.93338066,10468.98,53.0,7.0,20.5484
21,16.2895,2012-01-22 00:00:00+00:00,16.2895,1.7395,0.0,0.0,13.25,2.1625047,34367.176,3.0,0.0,15.137133
22,13.4895,2012-01-23 00:00:00+00:00,13.4895,7.5895004,0.8,0.8,8.12,1.7595378,28296.863,51.0,3.0,18.514643
23,16.839499,2012-01-24 00:00:00+00:00,16.839499,3.9895,5.3,5.3,13.91,2.3183079,30232.27,61.0,4.0,18.94024
24,20.1395,2012-01-25 00:00:00+00:00,20.1395,7.5895004,0.0,0.0,15.28,4.0786595,34632.96,3.0,0.0,22.961115
25,26.089499,2012-01-26 00:00:00+00:00,26.089499,6.9395,0.0,0.0,15.58,3.9176793,34725.23,0.0,0.0,16.80857
26,22.2395,2012-01-27 00:00:00+00:00,22.2395,6.9395,0.0,0.0,15.25,3.7589254,34819.105,2.0,0.0,20.858265
27,20.589499,2012-01-28 00:00:00+00:00,20.589499,9.4395,0.0,0.0,16.45,5.618824,34914.46,0.0,0.0,31.731092
28,23.2895,2012-01-29 00:00:00+00:00,23.2895,4.9395,0.0,0.0,16.5,4.898773,35011.17,3.0,0.0,25.11758
29,21.8895,2012-01-30 00:00:00+00:00,21.8895,8.4895,0.0,0.0,16.42,3.684466,35109.11,3.0,0.0,15.778516
30,18.7395,2012-01-31 00:00:00+00:00,18.7395,6.1394997,0.0,0.0,16.52,3.277219,35208.16,3.0,0.0,11.770403
31,19.6395,2012-02-01 00:00:00+00:00,19.6395,3.9395,0.0,0.0,15.54,3.0774515,35308.188,3.0,0.0,14.759999
32,19.939499,2012-02-02 00:00:00+00:00,19.939499,2.8395,0.0,0.0,16.46,3.0520117,35409.094,1.0,0.0,11.609651
33,18.189499,2012-02-03 00:00:00+00:00,18.189499,4.1895,0.0,0.0,16.78,3.7744775,35510.746,1.0,0.0,15.175612
34,19.939499,2012-02-04 00:00:00+00:00,19.939499,4.0895,0.0,0.0,16.71,3.7092674,35613.03,3.0,0.0,14.372974
35,20.8895,2012-02-05 00:00:00+00:00,20.8895,3.6395,0.0,0.0,17.07,3.557548,35716.023,3.0,0.0,12.768586
36,20.9895,2012-02-06 00:00:00+00:00,20.9895,3.5895,0.0,0.0,15.29,3.45402,35820.54,3.0,0.0,13.661038
37,18.3895,2012-02-07 00:00:00+00:00,18.3895,6.9895,0.0,0.0,8.43,2.6189399,10772.969,3.0,0.0,14.512064
38,18.089499,2012-02-08 00:00:00+00:00,18.089499,6.7395,6.5999994,6.5999994,15.06,2.4584754,28800.0,61.0,8.0,11.457958
39,23.589499,2012-02-09 00:00:00+00:00,23.589499,6.9395,0.0,0.0,17.21,3.7109618,36000.0,0.0,0.0,14.003028
40,22.9895,2012-02-10 00:00:00+00:00,22.9895,8.3395,0.0,0.0,17.73,3.6663737,36000.0,0.0,0.0,14.512064
41,19.589499,2012-02-11 00:00:00+00:00,19.589499,6.5395,0.0,0.0,14.28,2.361725,36000.0,3.0,0.0,15.815435
42,10.139501,2012-02-12 00:00:00+00:00,10.139501,5.0395,0.6,0.6,8.94,1.2179382,36000.0,51.0,5.0,15.463246
43,11.2895,2012-02-13 00:00:00+00:00,11.2895,3.6395,0.0,0.0,11.61,1.588467,36000.0,3.0,0.0,16.992609
44,9.139501,2012-02-14 00:00:00+00:00,9.139501,2.7395,2.7000003,2.7000003,12.25,1.4934016,35580.52,53.0,10.0,17.283749
45,9.2895,2012-02-15 00:00:00+00:00,9.2895,0.23949999,0.6,0.6,11.97,1.5150429,36000.0,51.0,3.0,23.507751
46,12.2395,2012-02-16 00:00:00+00:00,12.2395,1.0895,5.2,5.2,14.1,1.8668464,32086.348,61.0,9.0,23.770906
47,17.189499,2012-02-17 00:00:00+00:00,17.189499,1.8395,0.0,0.0,18.98,3.2406085,36143.81,0.0,0.0,19.64228
48,16.3895,2012-02-18 00:00:00+00:00,16.3895,1.7895,0.0,0.0,19.29,3.1559262,36341.0,0.0,0.0,14.773164
49,13.889501,2012-02-19 00:00:00+00:00,13.889501,4.1895,0.3,0.3,13.97,1.8809907,36138.344,51.0,2.0,15.379206
50,15.2895,2012-02-20 00:00:00+00:00,15.2895,3.3395,0.0,0.0,15.65,2.365488,36015.875,3.0,0.0,16.746773
51,19.4895,2012-02-21 00:00:00+00:00,19.4895,3.1395,0.0,0.0,19.21,3.191839,36521.71,3.0,0.0,12.768586
52,23.439499,2012-02-22 00:00:00+00:00,23.439499,3.6895,0.0,0.0,19.53,4.1304502,36803.176,0.0,0.0,13.049689
53,25.589499,2012-02-23 00:00:00+00:00,25.589499,8.7895,0.0,0.0,19.52,4.01037,36976.72,2.0,0.0,11.384198
54,24.439499,2012-02-24 00:00:00+00:00,24.439499,7.6394997,0.0,0.0,19.24,4.2201715,37175.695,2.0,0.0,12.641076
55,23.189499,2012-02-25 00:00:00+00:00,23.189499,8.7895,0.0,0.0,20.21,4.046827,37297.496,0.0,0.0,15.188415
