,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,26.3655,2012-01-01 00:00:00+00:00,26.3655,7.8155003,0.0,0.0,13.46,3.482451,33107.477,0.0,0.0,15.844089
1,27.1655,2012-01-02 00:00:00+00:00,27.1655,8.4655,0.0,0.0,13.38,3.8277397,33141.234,0.0,0.0,15.141414
2,27.8155,2012-01-03 00:00:00+00:00,27.8155,8.8155,0.0,0.0,13.05,3.473983,33178.043,3.0,0.0,13.1041975
3,27.1655,2012-01-04 00:00:00+00:00,27.1655,8.4155,0.0,0.0,13.63,3.7436938,33217.832,0.0,0.0,14.707222
4,26.515501,2012-01-05 00:00:00+00:00,26.515501,8.0655,0.0,0.0,13.33,3.8836014,33260.516,3.0,0.0,13.441071
5,24.0655,2012-01-06 00:00:00+00:00,24.0655,10.8655,0.0,0.0,13.54,2.9950361,33306.008,3.0,0.0,10.739833
6,20.8655,2012-01-07 00:00:00+00:00,20.8655,9.5155,0.0,0.0,13.48,3.00522,33354.234,0.0,0.0,10.483357
7,17.0655,2012-01-08 00:00:00+00:00,17.0655,7.1155005,0.0,0.0,14.21,3.678202,33405.1,1.0,0.0,23.675303
8,18.7155,2012-01-09 00:00:00+00:00,18.7155,3.4155,0.0,0.0,14.06,3.5424376,33458.547,0.0,0.0,15.7908325
9,20.5655,2012-01-10 00:00:00+00:00,20.5655,2.4155002,0.0,0.0,13.92,2.7141786,33514.473,3.0,0.0,9.36
10,20.265501,2012-01-11 00:00:00+00:00,20.265501,4.8155003,0.0,0.0,10.57,2.3718772,33538.348,3.0,0.0,8.311245
11,20.2155,2012-01-12 00:00:00+00:00,20.2155,6.7155,0.0,0.0,11.58,2.664795,27348.527,3.0,0.0,10.028439
12,20.2155,2012-01-13 00:00:00+00:00,20.2155,4.5655003,0.0,0.0,14.52,4.2408094,33696.35,2.0,0.0,24.606731
13,19.0655,2012-01-14 00:00:00+00:00,19.0655,4.1654997,0.0,0.0,9.93,3.2140641,26352.14,3.0,0.0,13.1041975
14,16.5655,2012-01-15 00:00:00+00:00,16.5655,8.7655,0.0,0.0,9.99,2.4528985,24701.795,3.0,0.0,16.323528
15,13.3655,2012-01-16 00:00:00+00:00,13.3655,7.6155005,1.5000001,1.5000001,6.8,1.0287526,31273.588,53.0,7.0,15.077082
16,16.0155,2012-01-17 00:00:00+00:00,16.0155,2.0155,0.0,0.0,13.79,2.1557505,31600.488,3.0,0.0,11.983188
17,20.9155,2012-01-18 00:00:00+00:00,20.9155,1.5655,0.0,0.0,14.94,2.814934,34043.617,0.0,0.0,10.08
18,21.6655,2012-01-19 00:00:00+00:00,21.6655,9.5155,0.0,0.0,15.16,3.162326,34120.777,0.0,0.0,11.885453
