,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,21.5885,2012-01-01 00:00:00+00:00,21.5885,9.188499,0.0,0.0,13.31,2.559647,33084.01,0.0,0.0,12.413476
1,21.6385,2012-01-02 00:00:00+00:00,21.6385,9.2885,0.0,0.0,13.28,2.7386594,33117.875,0.0,0.0,12.768586
2,21.8385,2012-01-03 00:00:00+00:00,21.8385,9.0385,0.0,0.0,12.96,2.4066732,33154.79,3.0,0.0,12.261158
3,22.9885,2012-01-04 00:00:00+00:00,22.9885,8.7885,0.0,0.0,13.51,2.4554346,33194.7,0.0,0.0,11.384199
4,23.2885,2012-01-05 00:00:00+00:00,23.2885,9.8885,0.0,0.0,13.28,2.8805091,33237.504,2.0,0.0,11.013882
5,19.3885,2012-01-06 00:00:00+00:00,19.3885,8.688499,0.0,0.0,13.33,2.2821724,33283.133,3.0,0.0,8.209263
6,15.7885,2012-01-07 00:00:00+00:00,15.7885,11.188499,0.0,0.0,12.63,1.7565598,33331.496,2.0,0.0,8.404285
7,17.9885,2012-01-08 00:00:00+00:00,17.9885,6.8884997,0.0,0.0,14.05,2.4819977,33382.516,2.0,0.0,13.979871
8,16.9385,2012-01-09 00:00:00+00:00,16.9385,6.8884997,0.0,0.0,13.93,2.6842847,33436.117,0.0,0.0,12.768586
9,16.8385,2012-01-10 00:00:00+00:00,16.8385,5.8385,0.0,0.0,13.67,2.1570668,33492.207,3.0,0.0,10.390226
10,17.0385,2012-01-11 00:00:00+00:00,17.0385,6.1384997,0.0,0.0,10.39,1.722851,32853.617,3.0,0.0,10.594036
11,17.7885,2012-01-12 00:00:00+00:00,17.7885,8.438499,0.0,0.0,11.17,1.8534133,27777.049,3.0,0.0,8.049845
12,19.3885,2012-01-13 00:00:00+00:00,19.3885,7.7885,0.0,0.0,14.31,2.8701582,33674.613,3.0,0.0,17.811815
13,17.5885,2012-01-14 00:00:00+00:00,17.5885,6.7384996,0.0,0.0,9.88,2.2836554,25154.488,3.0,0.0,14.039999
14,15.1385,2012-01-15 00:00:00+00:00,15.1385,9.938499,0.5,0.5,10.12,1.7939361,26865.709,51.0,3.0,13.783817
15,13.3385,2012-01-16 00:00:00+00:00,13.3385,10.4885,4.2,4.2,6.65,1.0303085,26771.951,55.0,13.0,15.546833
16,12.688499,2012-01-17 00:00:00+00:00,12.688499,7.2384996,0.0,0.0,13.51,1.7939881,29397.883,3.0,0.0,12.599999
17,15.688499,2012-01-18 00:00:00+00:00,15.688499,4.0385,0.0,0.0,14.77,2.1734755,34022.883,0.0,0.0,11.609651
18,15.7885,2012-01-19 00:00:00+00:00,15.7885,7.0885,0.0,0.0,14.97,2.3290427,34100.27,0.0,0.0,11.367109
19,15.738501,2012-01-20 00:00:00+00:00,15.738501,6.5385,0.0,0.0,14.05,2.0619545,34180.24,3.0,0.0,14.917212
20,14.0885,2012-01-21 00:00:00+00:00,14.0885,8.438499,1.9000001,1.9000001,5.33,0.8682767,9789.633,53.0,5.0,20.966715
21,14.0885,2012-01-22 00:00:00+00:00,14.0885,7.2384996,0.0,0.0,13.0,1.8247061,34347.375,3.0,0.0,15.941944
22,13.6385,2012-01-23 00:00:00+00:00,13.6385,8.1385,1.0,1.0,7.68,1.2220144,28333.416,53.0,2.0,19.93048
23,15.988501,2012-01-24 00:00:00+00:00,15.988501,6.1384997,4.6,4.6,13.57,1.9519677,31485.426,61.0,5.0,18.289274
24,21.0385,2012-01-25 00:00:00+00:00,21.0385,8.8885,0.0,0.0,15.17,2.9082568,34613.92,3.0,0.0,12.783802
25,22.8385,2012-01-26 00:00:00+00:00,22.8385,8.8385,0.0,0.0,15.44,3.1518528,34706.457,0.0,0.0,12.43434
26,21.4385,2012-01-27 00:00:00+00:00,21.4385,9.9885,0.0,0.0,15.18,2.6924927,34800.6,2.0,0.0,10.636766
27,21.9385,2012-01-28 00:00:00+00:00,21.9385,13.3385,0.0,0.0,16.34,5.3230267,34896.227,0.0,0.0,23.042812
28,22.1385,2012-01-29 00:00:00+00:00,22.1385,8.2385,0.0,0.0,16.38,4.1955686,34993.207,3.0,0.0,17.566378
29,19.4385,2012-01-30 00:00:00+00:00,19.4385,7.0385,0.0,0.0,16.21,2.959262,35091.43,3.0,0.0,11.304229
30,15.2385,2012-01-31 00:00:00+00:00,15.2385,10.2385,0.0,0.0,16.14,2.313617,35190.758,3.0,0.0,8.534353
