,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,22.0695,2012-01-01 00:00:00+00:00,22.0695,9.669499,0.0,0.0,13.38,2.7023094,33084.01,0.0,0.0,13.1041975
1,22.119501,2012-01-02 00:00:00+00:00,22.119501,9.7695,0.0,0.0,13.35,2.8169012,33117.875,0.0,0.0,12.768586
2,22.3195,2012-01-03 00:00:00+00:00,22.3195,9.5195,0.0,0.0,13.02,2.4394188,33154.79,3.0,0.0,17.238699
3,23.469501,2012-01-04 00:00:00+00:00,23.469501,9.2695,0.0,0.0,13.57,2.5794725,33194.7,0.0,0.0,11.841756
4,23.7695,2012-01-05 00:00:00+00:00,23.7695,10.3695,0.0,0.0,13.42,3.0711544,33237.504,2.0,0.0,13.849476
5,19.869501,2012-01-06 00:00:00+00:00,19.869501,9.169499,0.0,0.0,13.19,2.3244705,33283.133,3.0,0.0,9.0645685
6,16.2695,2012-01-07 00:00:00+00:00,16.2695,11.669499,0.0,0.0,12.23,1.7372382,33331.496,3.0,0.0,10.97262
7,18.469501,2012-01-08 00:00:00+00:00,18.469501,7.3694997,0.0,0.0,14.11,2.5273418,33382.516,3.0,0.0,17.477621
8,17.4195,2012-01-09 00:00:00+00:00,17.4195,7.3694997,0.0,0.0,14.06,2.8712091,33436.117,0.0,0.0,14.458382
9,17.3195,2012-01-10 00:00:00+00:00,17.3195,6.3195,0.0,0.0,13.69,2.2624454,33492.207,3.0,0.0,11.620809
10,17.5195,2012-01-11 00:00:00+00:00,17.5195,6.6194997,0.0,0.0,10.15,1.7834107,31367.533,3.0,0.0,14.973576
11,18.2695,2012-01-12 00:00:00+00:00,18.2695,8.919499,0.0,0.0,10.85,1.8556371,27777.049,3.0,0.0,11.165805
12,19.869501,2012-01-13 00:00:00+00:00,19.869501,8.2695,0.0,0.0,14.18,2.8048203,33674.613,3.0,0.0,12.313893
13,18.0695,2012-01-14 00:00:00+00:00,18.0695,7.2194996,0.0,0.0,10.09,2.2825859,28042.432,3.0,0.0,11.043261
14,15.6195,2012-01-15 00:00:00+00:00,15.6195,10.419499,0.1,0.1,9.77,1.6871704,25916.586,51.0,1.0,13.276144
15,13.8195,2012-01-16 00:00:00+00:00,13.8195,10.9695,4.6,4.6,6.81,1.0744808,23486.943,55.0,13.0,18.175545
16,13.169499,2012-01-17 00:00:00+00:00,13.169499,7.7194996,0.0,0.0,13.8,1.8717835,29610.574,3.0,0.0,16.62249
