,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,26.3135,2012-01-01 00:00:00+00:00,26.3135,7.7635,0.0,0.0,13.46,3.4808712,33130.89,0.0,0.0,15.844089
1,27.1135,2012-01-02 00:00:00+00:00,27.1135,8.4135,0.0,0.0,13.38,3.8256047,33164.555,0.0,0.0,15.141414
2,27.7635,2012-01-03 00:00:00+00:00,27.7635,8.7635,0.0,0.0,13.05,3.4725997,33201.258,3.0,0.0,13.1041975
3,27.1135,2012-01-04 00:00:00+00:00,27.1135,8.3635,0.0,0.0,13.63,3.74181,33240.93,0.0,0.0,14.707222
4,26.463501,2012-01-05 00:00:00+00:00,26.463501,8.0135,0.0,0.0,13.33,3.881669,33283.484,3.0,0.0,13.441071
5,24.0135,2012-01-06 00:00:00+00:00,24.0135,10.8135,0.0,0.0,13.54,2.9951327,33328.844,3.0,0.0,10.739833
6,20.8135,2012-01-07 00:00:00+00:00,20.8135,9.4635,0.0,0.0,13.48,3.0042691,33376.926,0.0,0.0,10.483357
7,17.0135,2012-01-08 00:00:00+00:00,17.0135,7.0635004,0.0,0.0,14.21,3.6731024,33427.65,1.0,0.0,23.675303
8,18.6635,2012-01-09 00:00:00+00:00,18.6635,3.3634999,0.0,0.0,14.06,3.539289,33480.938,0.0,0.0,15.7908325
9,20.5135,2012-01-10 00:00:00+00:00,20.5135,2.3635,0.0,0.0,13.92,2.7136912,33536.7,3.0,0.0,9.36
10,20.213501,2012-01-11 00:00:00+00:00,20.213501,4.7635,0.0,0.0,10.57,2.3709974,33556.965,3.0,0.0,8.311245
11,20.1635,2012-01-12 00:00:00+00:00,20.1635,6.6635003,0.0,0.0,11.58,2.66384,27346.305,3.0,0.0,10.028439
12,20.1635,2012-01-13 00:00:00+00:00,20.1635,4.5135,0.0,0.0,14.52,4.235017,33718.05,2.0,0.0,24.606731
13,19.0135,2012-01-14 00:00:00+00:00,19.0135,4.1135,0.0,0.0,9.93,3.2108674,26333.617,3.0,0.0,13.1041975
14,16.5135,2012-01-15 00:00:00+00:00,16.5135,8.7135,0.0,0.0,9.99,2.450117,24698.043,3.0,0.0,16.323528
15,13.3135,2012-01-16 00:00:00+00:00,13.3135,7.5635004,1.5000001,1.5000001,6.8,1.0276763,31259.64,53.0,7.0,15.077082
16,15.9635,2012-01-17 00:00:00+00:00,15.9635,1.9635,0.0,0.0,13.79,2.1549547,31610.797,3.0,0.0,11.983188
17,20.8635,2012-01-18 00:00:00+00:00,20.8635,1.5135,0.0,0.0,14.94,2.8136222,34064.316,0.0,0.0,10.08
18,21.6135,2012-01-19 00:00:00+00:00,21.6135,9.4635,0.0,0.0,15.16,3.1605897,34141.258,0.0,0.0,11.885453
19,20.3135,2012-01-20 00:00:00+00:00,20.3135,10.0635,0.0,0.0,14.27,2.9870005,34220.766,3.0,0.0,13.722565
20,16.7635,2012-01-21 00:00:00+00:00,16.7635,8.9135,2.8000002,2.8000002,5.52,0.9332714,10465.268,53.0,7.0,20.5484
21,16.2635,2012-01-22 00:00:00+00:00,16.2635,1.7135,0.0,0.0,13.25,2.1627657,34386.94,3.0,0.0,15.137133
22,13.4635,2012-01-23 00:00:00+00:00,13.4635,7.5635004,0.8,0.8,8.12,1.7591665,28298.33,51.0,3.0,18.514643
23,16.8135,2012-01-24 00:00:00+00:00,16.8135,3.9635,5.3,5.3,13.91,2.3180945,30244.49,61.0,4.0,18.94024
24,20.1135,2012-01-25 00:00:00+00:00,20.1135,7.5635004,0.0,0.0,15.28,4.0769897,34651.97,3.0,0.0,22.961115
25,26.0635,2012-01-26 00:00:00+00:00,26.0635,6.9135003,0.0,0.0,15.58,3.916996,34743.977,0.0,0.0,16.80857
26,22.213501,2012-01-27 00:00:00+00:00,22.213501,6.9135003,0.0,0.0,15.25,3.7579148,34837.586,2.0,0.0,20.858265
27,20.5635,2012-01-28 00:00:00+00:00,20.5635,9.4135,0.0,0.0,16.45,5.6144595,34932.664,0.0,0.0,31.731092
28,23.2635,2012-01-29 00:00:00+00:00,23.2635,4.9135003,0.0,0.0,16.5,4.8962646,35029.1,3.0,0.0,25.11758
29,21.8635,2012-01-30 00:00:00+00:00,21.8635,8.4635,0.0,0.0,16.42,3.6836524,35126.766,3.0,0.0,15.778516
30,18.713501,2012-01-31 00:00:00+00:00,18.713501,6.1135,0.0,0.0,16.52,3.2767055,35225.53,3.0,0.0,11.770403
31,19.6135,2012-02-01 00:00:00+00:00,19.6135,3.9135,0.0,0.0,15.54,3.077177,35325.28,3.0,0.0,14.759999
32,19.9135,2012-02-02 00:00:00+00:00,19.9135,2.8135,0.0,0.0,16.46,3.0522223,35425.9,1.0,0.0,11.609651
33,18.1635,2012-02-03 00:00:00+00:00,18.1635,4.1635003,0.0,0.0,16.78,3.7728326,35527.266,1.0,0.0,15.175612
34,19.9135,2012-02-04 00:00:00+00:00,19.9135,4.0635,0.0,0.0,16.71,3.7082477,35629.27,3.0,0.0,14.372974
35,20.8635,2012-02-05 00:00:00+00:00,20.8635,3.6134999,0.0,0.0,17.07,3.5566728,35731.97,3.0,0.0,12.768586
36,20.963501,2012-02-06 00:00:00+00:00,20.963501,3.5635,0.0,0.0,15.29,3.453381,35832.45,3.0,0.0,13.661038
37,18.3635,2012-02-07 00:00:00+00:00,18.3635,6.9635,0.0,0.0,8.43,2.617563,10757.72,3.0,0.0,14.512064
38,18.0635,2012-02-08 00:00:00+00:00,18.0635,6.7135,6.5999994,6.5999994,15.06,2.458369,28800.0,61.0,8.0,11.457958
39,23.5635,2012-02-09 00:00:00+00:00,23.5635,6.9135003,0.0,0.0,17.21,3.7100918,36000.0,0.0,0.0,14.003028
40,22.963501,2012-02-10 00:00:00+00:00,22.963501,8.3135,0.0,0.0,17.73,3.665629,36000.0,0.0,0.0,14.512064
41,19.5635,2012-02-11 00:00:00+00:00,19.5635,6.5135,0.0,0.0,14.28,2.3611553,36000.0,3.0,0.0,15.815435
42,10.113501,2012-02-12 00:00:00+00:00,10.113501,5.0135,0.6,0.6,8.94,1.2175477,36000.0,51.0,5.0,15.463246
43,11.2635,2012-02-13 00:00:00+00:00,11.2635,3.6134999,0.0,0.0,11.61,1.5880412,36000.0,3.0,0.0,16.992609
44,9.113501,2012-02-14 00:00:00+00:00,9.113501,2.7135,2.7000003,2.7000003,12.25,1.4928168,35558.117,53.0,10.0,17.283749
45,9.2635,2012-02-15 00:00:00+00:00,9.2635,0.21350002,0.6,0.6,11.97,1.5144817,36000.0,51.0,3.0,23.507751
46,12.2135,2012-02-16 00:00:00+00:00,12.2135,1.0635,5.2,5.2,14.1,1.8658998,32062.246,61.0,9.0,23.770906
47,17.1635,2012-02-17 00:00:00+00:00,17.1635,1.8134999,0.0,0.0,18.98,3.2393446,36144.97,0.0,0.0,19.64228
48,16.3635,2012-02-18 00:00:00+00:00,16.3635,1.7635,0.0,0.0,19.29,3.1548615,36342.48,0.0,0.0,14.773164
49,13.863501,2012-02-19 00:00:00+00:00,13.863501,4.1635003,0.3,0.3,13.97,1.8802669,36138.062,51.0,2.0,15.379206
50,15.2635,2012-02-20 00:00:00+00:00,15.2635,3.3135,0.0,0.0,15.65,2.3650439,36014.363,3.0,0.0,16.746773
51,19.463501,2012-02-21 00:00:00+00:00,19.463501,3.1134999,0.0,0.0,19.21,3.1908786,36523.75,3.0,0.0,12.768586
52,23.4135,2012-02-22 00:00:00+00:00,23.4135,3.6635,0.0,0.0,19.53,4.1289606,36805.105,0.0,0.0,13.049689
53,25.5635,2012-02-23 00:00:00+00:00,25.5635,8.7635,0.0,0.0,19.52,4.0101085,36978.785,2.0,0.0,11.384198
54,24.4135,2012-02-24 00:00:00+00:00,24.4135,7.6135,0.0,0.0,19.24,4.219207,37178.703,2.0,0.0,12.641076
55,23.1635,2012-02-25 00:00:00+00:00,23.1635,8.7635,0.0,0.0,20.21,4.0455174,37300.695,0.0,0.0,15.188415
56,20.0635,2012-02-26 00:00:00+00:00,20.0635,7.1635003,0.0,0.0,20.4,3.881764,37562.734,1.0,0.0,18.504139
57,15.113501,2012-02-27 00:00:00+00:00,15.113501,3.6635,1.8000001,1.8000001,15.03,2.0370498,36773.03,53.0,5.0,26.478971
58,10.1635,2012-02-28 00:00:00+00:00,10.1635,1.9635,12.1,12.0,15.47,1.8826512,36320.484,71.0,14.0,24.627787
59,14.0135,2012-02-29 00:00:00+00:00,14.0135,-0.5364999,0.0,0.0,20.52,2.9032276,38067.215,3.0,0.0,13.513193
60,12.5635,2012-03-01 00:00:00+00:00,12.5635,3.2135,0.0,0.0,17.32,2.3637192,37557.957,3.0,0.0,14.658676
61,15.7635,2012-03-02 00:00:00+00:00,15.7635,2.3635,0.0,0.0,21.15,3.4149907,37607.54,2.0,0.0,30.589407
62,20.5135,2012-03-03 00:00:00+00:00,20.5135,5.2635,0.0,0.0,22.15,5.9951625,38833.4,0.0,0.0,29.157776
63,27.0635,2012-03-04 00:00:00+00:00,27.0635,6.9135003,0.0,0.0,22.27,6.0046573,38954.242,0.0,0.0,20.456745
64,27.2635,2012-03-05 00:00:00+00:00,27.2635,8.863501,0.0,0.0,19.04,4.6653214,37295.438,3.0,0.0,15.844089
65,23.7635,2012-03-06 00:00:00+00:00,23.7635,10.5635,0.0,0.0,20.56,4.284127,39060.34,1.0,0.0,18.971008
66,13.9635,2012-03-07 00:00:00+00:00,13.9635,2.3635,0.0,0.0,19.95,2.9051993,37292.8,3.0,0.0,17.49615
67,19.1135,2012-03-08 00:00:00+00:00,19.1135,3.3135,0.0,0.0,23.1,4.776615,39438.367,0.0,0.0,23.4
68,22.2635,2012-03-09 00:00:00+00:00,22.2635,9.7135,0.0,0.0,23.21,6.2234316,39559.15,0.0,0.0,24.162947
69,23.0635,2012-03-10 00:00:00+00:00,23.0635,7.0635004,0.0,0.0,23.43,5.02924,39679.656,0.0,0.0,17.76081
70,20.8135,2012-03-11 00:00:00+00:00,20.8135,7.7635,0.0,0.0,23.1,4.777673,39799.82,2.0,0.0,14.336861
71,20.5135,2012-03-12 00:00:00+00:00,20.5135,4.3635,0.0,0.0,23.0,4.1907473,39919.54,0.0,0.0,13.570615
72,20.3135,2012-03-13 00:00:00+00:00,20.3135,5.5135,0.0,0.0,23.62,4.088191,40038.742,0.0,0.0,14.05845
73,21.713501,2012-03-14 00:00:00+00:00,21.713501,3.9135,0.0,0.0,23.52,4.267239,40157.34,0.0,0.0,15.629971
74,22.0635,2012-03-15 00:00:00+00:00,22.0635,5.5135,0.0,0.0,23.61,4.3864107,40275.266,0.0,0.0,15.188415
75,20.1635,2012-03-16 00:00:00+00:00,20.1635,8.0135,0.0,0.0,22.6,3.942176,40392.69,1.0,0.0,13.698934
76,16.713501,2012-03-17 00:00:00+00:00,16.713501,8.2135,8.1,8.1,9.86,1.307949,15172.236,61.0,12.0,27.055143
77,9.5635,2012-03-18 00:00:00+00:00,9.5635,1.7635,33.6,30.300007,12.52,0.9768617,29328.12,73.0,24.0,26.886963
78,7.5635004,2012-03-19 00:00:00+00:00,7.5635004,1.7635,10.400001,10.1,8.43,0.9305521,17801.793,71.0,23.0,21.42227
79,16.713501,2012-03-20 00:00:00+00:00,16.713501,0.56350005,0.0,0.0,23.19,3.4047458,40764.246,3.0,0.0,9.605998
80,22.0135,2012-03-21 00:00:00+00:00,22.0135,4.0135,0.0,0.0,24.41,4.2167974,40984.066,0.0,0.0,10.041354
81,22.963501,2012-03-22 00:00:00+00:00,22.963501,7.6635003,0.0,0.0,24.61,4.3598514,41102.684,0.0,0.0,13.556282
82,19.7635,2012-03-23 00:00:00+00:00,19.7635,7.2135,0.0,0.0,23.52,3.9027746,41221.242,2.0,0.0,10.990322
83,19.5635,2012-03-24 00:00:00+00:00,19.5635,7.0135,0.0,0.0,21.49,3.6962562,41339.656,3.0,0.0,11.753876
84,17.6635,2012-03-25 00:00:00+00:00,17.6635,7.4635,0.0,0.0,21.19,2.9311316,41457.86,3.0,0.0,25.729298
85,14.9635,2012-03-26 00:00:00+00:00,14.9635,4.4635,6.2,6.2,20.25,2.921248,34394.953,55.0,9.0,26.405453
86,20.1135,2012-03-27 00:00:00+00:00,20.1135,3.2635,0.0,0.0,25.03,4.034163,41693.316,1.0,0.0,17.106628
87,20.463501,2012-03-28 00:00:00+00:00,20.463501,4.7135,0.0,0.0,26.27,4.393263,41810.42,1.0,0.0,17.477621
88,23.8135,2012-03-29 00:00:00+00:00,23.8135,7.8135004,0.0,0.0,25.31,4.5899754,41916.555,2.0,0.0,15.683776
89,22.7635,2012-03-30 00:00:00+00:00,22.7635,7.3635,0.0,0.0,25.61,4.572277,41956.273,3.0,0.0,13.207634
90,20.3135,2012-03-31 00:00:00+00:00,20.3135,10.0135,0.0,0.0,24.51,4.174691,41995.914,3.0,0.0,17.462784
91,17.0135,2012-04-01 00:00:00+00:00,17.0135,3.8634999,1.9000001,1.9000001,21.4,2.859033,42035.484,55.0,4.0,19.694992
92,21.6635,2012-04-02 00:00:00+00:00,21.6635,3.8634999,0.0,0.0,26.66,4.710114,42075.01,3.0,0.0,14.182355
93,24.3135,2012-04-03 00:00:00+00:00,24.3135,4.6635003,0.0,0.0,26.51,5.4220266,42114.5,3.0,0.0,15.893093
94,25.0135,2012-04-04 00:00:00+00:00,25.0135,7.9135003,0.0,0.0,26.02,5.2263064,42153.99,3.0,0.0,15.893093
95,22.0635,2012-04-05 00:00:00+00:00,22.0635,9.863501,0.0,0.0,25.99,4.862367,42193.484,3.0,0.0,14.168641
