,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,21.751999,2012-01-01 00:00:00+00:00,21.751999,11.851999,0.0,0.0,13.38,2.5309753,33060.5,0.0,0.0,13.1041975
1,21.602,2012-01-02 00:00:00+00:00,21.602,11.552,0.0,0.0,13.35,2.5507987,33094.457,0.0,0.0,12.768586
2,21.302,2012-01-03 00:00:00+00:00,21.302,10.752,0.0,0.0,13.02,2.2163515,33131.484,3.0,0.0,17.238699
3,23.052,2012-01-04 00:00:00+00:00,23.052,10.601999,0.0,0.0,13.57,2.3658671,33171.51,0.0,0.0,11.841756
4,23.902,2012-01-05 00:00:00+00:00,23.902,12.252,0.0,0.0,13.42,2.898498,33214.445,2.0,0.0,13.849476
5,19.852,2012-01-06 00:00:00+00:00,19.852,10.752,0.0,0.0,13.19,2.161247,33260.203,3.0,0.0,9.0645685
6,16.402,2012-01-07 00:00:00+00:00,16.402,10.351999,0.0,0.0,12.23,1.543672,33308.71,3.0,0.0,10.97262
7,19.052,2012-01-08 00:00:00+00:00,19.052,9.202,0.0,0.0,14.11,2.4269736,33359.883,3.0,0.0,17.477621
8,17.902,2012-01-09 00:00:00+00:00,17.902,9.901999,0.0,0.0,14.06,2.722498,33413.637,0.0,0.0,14.458382
9,17.501999,2012-01-10 00:00:00+00:00,17.501999,8.202,0.0,0.0,13.69,2.1385128,33469.89,3.0,0.0,11.620809
10,17.302,2012-01-11 00:00:00+00:00,17.302,9.202,0.0,0.0,10.15,1.6391051,31372.32,3.0,0.0,14.973576
11,18.452,2012-01-12 00:00:00+00:00,18.452,11.702,0.0,0.0,10.85,1.7382667,27767.656,3.0,0.0,11.165805
12,20.501999,2012-01-13 00:00:00+00:00,20.501999,9.952,0.0,0.0,14.18,2.674629,33652.82,3.0,0.0,12.313893
13,18.702,2012-01-14 00:00:00+00:00,18.702,9.601999,0.0,0.0,10.09,2.1188939,28124.523,3.0,0.0,11.043261
14,16.552,2012-01-15 00:00:00+00:00,16.552,12.002,0.1,0.1,9.77,1.5283594,25957.38,51.0,1.0,13.276144
15,15.202,2012-01-16 00:00:00+00:00,15.202,12.752,4.6,4.6,6.81,1.1340294,23513.902,55.0,13.0,18.175545
16,13.502,2012-01-17 00:00:00+00:00,13.502,8.102,0.0,0.0,13.8,1.8816029,29552.756,3.0,0.0,16.62249
17,15.802,2012-01-18 00:00:00+00:00,15.802,7.202,0.0,0.0,14.88,2.1548316,34002.11,1.0,0.0,14.565548
18,15.702,2012-01-19 00:00:00+00:00,15.702,7.552,0.0,0.0,15.07,2.1837027,34079.71,0.0,0.0,14.039999
19,15.651999,2012-01-20 00:00:00+00:00,15.651999,8.552,0.0,0.0,14.31,1.9882698,34159.914,3.0,0.0,18.998316
20,15.002,2012-01-21 00:00:00+00:00,15.002,11.452,2.1,2.1,5.52,0.9062907,7329.9434,53.0,5.0,21.629978
21,14.851999,2012-01-22 00:00:00+00:00,14.851999,10.202,0.0,0.0,13.42,1.8287227,34327.527,3.0,0.0,18.289274
22,14.752,2012-01-23 00:00:00+00:00,14.752,10.101999,1.1,1.1,8.05,1.2090114,26677.986,53.0,3.0,19.829433
23,16.352,2012-01-24 00:00:00+00:00,16.352,8.502,4.5999994,4.5999994,13.78,1.8193152,33065.156,61.0,8.0,21.868332
24,21.802,2012-01-25 00:00:00+00:00,21.802,11.401999,0.0,0.0,15.27,2.8988583,34594.844,3.0,0.0,19.35314
25,23.251999,2012-01-26 00:00:00+00:00,23.251999,11.552,0.0,0.0,15.54,3.211153,34687.64,0.0,0.0,14.658676
