,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,27.895,2012-01-01 00:00:00+00:00,27.895,12.045,0.0,0.0,16.87,4.1459475,35207.3,0.0,0.0,13.104198
1,29.595,2012-01-02 00:00:00+00:00,29.595,13.1449995,0.0,0.0,16.48,4.0215063,35232.24,1.0,0.0,10.948973
2,31.145,2012-01-03 00:00:00+00:00,31.145,16.195,0.0,0.0,16.19,4.4736695,35259.445,2.0,0.0,14.565548
3,32.495,2012-01-04 00:00:00+00:00,32.495,17.244999,0.0,0.0,16.38,4.96632,34222.707,3.0,0.0,14.512064
4,30.795,2012-01-05 00:00:00+00:00,30.795,14.844999,0.0,0.0,16.88,4.864245,35320.465,1.0,0.0,10.823973
5,28.945,2012-01-06 00:00:00+00:00,28.945,13.445,0.0,0.0,15.01,3.994355,35298.797,3.0,0.0,11.659777
6,27.445,2012-01-07 00:00:00+00:00,27.445,14.695,0.0,0.0,15.96,3.6513853,32730.326,3.0,0.0,14.658676
7,25.195,2012-01-08 00:00:00+00:00,25.195,10.844999,0.0,0.0,16.09,3.1960382,34237.445,3.0,0.0,16.516901
8,22.445,2012-01-09 00:00:00+00:00,22.445,12.445,0.0,0.0,15.92,4.333494,34490.035,3.0,0.0,23.277834
9,23.994999,2012-01-10 00:00:00+00:00,23.994999,12.495,0.0,0.0,16.24,4.7980194,34630.67,3.0,0.0,21.26744
10,25.345,2012-01-11 00:00:00+00:00,25.345,9.844999,0.0,0.0,16.89,3.7906678,34889.84,3.0,0.0,16.80857
11,25.994999,2012-01-12 00:00:00+00:00,25.994999,11.844999,0.0,0.0,14.73,3.623691,33098.453,3.0,0.0,10.365251
12,25.645,2012-01-13 00:00:00+00:00,25.645,12.745,0.0,0.0,14.95,4.035948,34241.574,3.0,0.0,22.86496
13,26.945,2012-01-14 00:00:00+00:00,26.945,15.545,0.0,0.0,16.32,5.1916614,33362.45,3.0,0.0,20.88
14,29.045,2012-01-15 00:00:00+00:00,29.045,14.045,0.0,0.0,16.47,4.2307796,35741.992,3.0,0.0,11.384198
15,27.845,2012-01-16 00:00:00+00:00,27.845,14.745,0.0,0.0,12.92,3.8281,34321.56,3.0,0.0,14.8257065
16,27.994999,2012-01-17 00:00:00+00:00,27.994999,14.8949995,0.0,0.0,16.04,4.1125393,35473.652,3.0,0.0,14.20062
17,26.744999,2012-01-18 00:00:00+00:00,26.744999,14.995,0.0,0.0,17.15,4.8201685,35729.0,3.0,0.0,19.161337
18,29.295,2012-01-19 00:00:00+00:00,29.295,14.6449995,0.0,0.0,15.95,4.9073496,34254.71,3.0,0.0,15.315873
19,27.994999,2012-01-20 00:00:00+00:00,27.994999,13.1449995,0.0,0.0,12.15,2.966971,21862.785,3.0,0.0,9.0645685
20,25.895,2012-01-21 00:00:00+00:00,25.895,11.8949995,0.0,0.0,13.41,3.189146,28908.682,3.0,0.0,16.434305
21,25.845,2012-01-22 00:00:00+00:00,25.845,12.3949995,0.0,0.0,15.66,4.0263195,33362.51,3.0,0.0,24.795612
22,28.045,2012-01-23 00:00:00+00:00,28.045,13.545,0.0,0.0,18.16,5.750037,36023.156,2.0,0.0,21.09305
23,26.945,2012-01-24 00:00:00+00:00,26.945,11.594999,0.0,0.0,18.48,4.370378,36272.875,0.0,0.0,22.26477
24,23.795,2012-01-25 00:00:00+00:00,23.795,11.594999,0.0,0.0,18.73,4.6976457,36340.297,3.0,0.0,21.734581
25,27.845,2012-01-26 00:00:00+00:00,27.845,13.445,0.0,0.0,18.94,5.3766494,36409.05,0.0,0.0,20.08916
26,27.695,2012-01-27 00:00:00+00:00,27.695,10.1449995,0.0,0.0,19.25,4.217776,36479.02,0.0,0.0,13.397612
27,26.595,2012-01-28 00:00:00+00:00,26.595,10.245,0.0,0.0,19.09,4.6283183,36550.12,0.0,0.0,19.45333
28,27.545,2012-01-29 00:00:00+00:00,27.545,10.995,0.0,0.0,18.8,4.8715544,36622.258,1.0,0.0,18.837324
29,27.395,2012-01-30 00:00:00+00:00,27.395,10.795,0.0,0.0,19.09,4.178252,36695.34,0.0,0.0,14.007655
30,28.244999,2012-01-31 00:00:00+00:00,28.244999,12.6449995,0.0,0.0,18.36,3.8580465,36745.227,3.0,0.0,14.118243
31,28.295,2012-02-01 00:00:00+00:00,28.295,12.3949995,0.0,0.0,19.67,5.0253134,36843.96,3.0,0.0,15.94601
32,27.895,2012-02-02 00:00:00+00:00,27.895,14.495,0.0,0.0,19.58,4.8367643,36919.33,3.0,0.0,13.896187
33,26.295,2012-02-03 00:00:00+00:00,26.295,12.195,0.0,0.0,14.2,3.5310478,31177.672,3.0,0.0,16.279802
34,27.145,2012-02-04 00:00:00+00:00,27.145,12.545,0.0,0.0,19.44,4.6963844,36726.188,3.0,0.0,13.684735
