,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,24.392,2012-01-01 00:00:00+00:00,24.392,11.292001,0.0,0.0,13.56,3.0665662,33293.48,1.0,0.0,11.090103
1,24.892,2012-01-02 00:00:00+00:00,24.892,11.842,0.0,0.0,13.49,3.3970864,33326.453,0.0,0.0,13.363711
2,24.642,2012-01-03 00:00:00+00:00,24.642,11.842,0.0,0.0,13.33,3.1129975,33362.4,2.0,0.0,18.193361
3,25.741999,2012-01-04 00:00:00+00:00,25.741999,11.542001,0.0,0.0,13.74,3.085563,33401.266,1.0,0.0,10.163227
4,24.642,2012-01-05 00:00:00+00:00,24.642,12.542001,0.0,0.0,13.76,3.5341852,33442.953,2.0,0.0,11.792404
5,21.642,2012-01-06 00:00:00+00:00,21.642,10.442,0.0,0.0,12.61,2.5002742,33487.387,3.0,0.0,8.557102
6,18.392,2012-01-07 00:00:00+00:00,18.392,12.042001,0.0,0.0,12.98,2.1203237,33534.496,2.0,0.0,10.446206
7,19.542,2012-01-08 00:00:00+00:00,19.542,7.442,0.0,0.0,14.21,2.60433,33584.188,1.0,0.0,16.363178
8,18.642,2012-01-09 00:00:00+00:00,18.642,7.592,0.0,0.0,14.27,3.3101916,33636.395,2.0,0.0,14.480773
9,19.192,2012-01-10 00:00:00+00:00,19.192,7.242,0.0,0.0,14.0,2.5630364,33691.03,3.0,0.0,12.074766
10,19.092,2012-01-11 00:00:00+00:00,19.092,8.492001,0.0,0.0,9.73,2.0111067,28750.05,3.0,0.0,13.75558
11,19.692,2012-01-12 00:00:00+00:00,19.692,9.642,0.0,0.0,10.62,2.158284,27972.049,3.0,0.0,11.177405
12,21.192,2012-01-13 00:00:00+00:00,21.192,9.392,0.0,0.0,14.18,3.0876067,30782.832,3.0,0.0,11.753877
13,19.192,2012-01-14 00:00:00+00:00,19.192,8.892,0.0,0.0,10.1,2.4182713,29669.734,3.0,0.0,10.296251
14,17.292,2012-01-15 00:00:00+00:00,17.292,11.142,0.0,0.0,8.83,1.8802762,23853.32,3.0,0.0,10.587918
15,14.492001,2012-01-16 00:00:00+00:00,14.492001,10.442,3.8999999,3.8999999,6.88,1.1393838,18211.139,55.0,12.0,17.87718
16,15.042001,2012-01-17 00:00:00+00:00,15.042001,7.042,0.0,0.0,14.26,2.1343236,32763.967,3.0,0.0,18.671474
17,19.042,2012-01-18 00:00:00+00:00,19.042,5.692,0.0,0.0,15.21,2.8447695,34208.035,0.0,0.0,15.782622
18,18.642,2012-01-19 00:00:00+00:00,18.642,7.342,0.0,0.0,15.35,3.1848655,34283.43,0.0,0.0,16.676977
19,18.542,2012-01-20 00:00:00+00:00,18.542,7.442,0.0,0.0,14.92,3.360941,34361.35,2.0,0.0,20.316889
20,16.842,2012-01-21 00:00:00+00:00,16.842,10.042001,1.0,1.0,6.44,1.4773717,15485.953,53.0,3.0,17.238699
21,16.991999,2012-01-22 00:00:00+00:00,16.991999,7.092,0.2,0.2,13.67,2.2191572,34524.203,51.0,1.0,17.782686
22,16.392,2012-01-23 00:00:00+00:00,16.392,8.842,0.2,0.2,9.85,2.0993817,27942.316,51.0,1.0,18.440998
23,18.342,2012-01-24 00:00:00+00:00,18.342,7.292,3.4999998,3.4999998,13.99,2.2993634,29914.906,55.0,6.0,20.696087
24,22.292,2012-01-25 00:00:00+00:00,22.292,9.142,0.0,0.0,15.44,3.7136278,34783.957,3.0,0.0,20.421871
25,23.892,2012-01-26 00:00:00+00:00,23.892,10.592,0.0,0.0,15.76,3.582771,34874.137,0.0,0.0,12.594856
26,21.241999,2012-01-27 00:00:00+00:00,21.241999,9.592,0.0,0.0,15.56,2.9076884,34965.89,1.0,0.0,10.823973
27,22.892,2012-01-28 00:00:00+00:00,22.892,11.792001,0.0,0.0,16.52,3.8161294,35059.09,0.0,0.0,13.044722
28,24.292,2012-01-29 00:00:00+00:00,24.292,11.092,0.0,0.0,16.66,4.772353,35153.625,2.0,0.0,14.118243
29,21.942,2012-01-30 00:00:00+00:00,21.942,9.592,0.0,0.0,16.57,3.549129,35249.363,3.0,0.0,11.4862
30,17.142,2012-01-31 00:00:00+00:00,17.142,9.892,0.0,0.0,15.61,2.5083525,35346.188,3.0,0.0,9.028754
31,18.442,2012-02-01 00:00:00+00:00,18.442,7.192,0.0,0.0,15.77,2.7317097,35443.973,3.0,0.0,20.858265
32,17.542,2012-02-02 00:00:00+00:00,17.542,7.092,0.0,0.0,16.55,3.0794172,35542.617,0.0,0.0,13.237039
