,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,23.939499,2012-01-01 00:00:00+00:00,23.939499,12.0895,0.0,0.0,13.7,2.8140426,33316.523,3.0,0.0,11.043261
1,24.439499,2012-01-02 00:00:00+00:00,24.439499,12.639501,0.0,0.0,13.6,3.2056344,33349.4,0.0,0.0,14.934577
2,23.7895,2012-01-03 00:00:00+00:00,23.7895,12.2395,0.0,0.0,13.6,2.8334625,33385.234,1.0,0.0,20.929594
3,25.2395,2012-01-04 00:00:00+00:00,25.2395,12.389501,0.0,0.0,13.87,2.8656049,33423.984,2.0,0.0,11.885453
4,24.189499,2012-01-05 00:00:00+00:00,24.189499,13.3395,0.0,0.0,14.02,3.222494,33465.55,2.0,0.0,9.511088
5,21.089499,2012-01-06 00:00:00+00:00,21.089499,10.889501,0.0,0.0,11.73,2.2349741,33509.86,3.0,0.0,8.64
6,18.089499,2012-01-07 00:00:00+00:00,18.089499,12.1895,0.0,0.0,12.32,2.2432845,33556.824,3.0,0.0,14.404499
7,19.7895,2012-01-08 00:00:00+00:00,19.7895,8.1395,0.0,0.0,14.27,2.5680633,33606.375,3.0,0.0,17.654688
8,18.939499,2012-01-09 00:00:00+00:00,18.939499,8.8395,0.0,0.0,14.4,3.2282977,33658.42,2.0,0.0,14.57889
9,18.939499,2012-01-10 00:00:00+00:00,18.939499,8.0395,0.0,0.0,14.2,2.3503509,33712.902,3.0,0.0,13.039754
10,18.8895,2012-01-11 00:00:00+00:00,18.8895,9.139501,0.0,0.0,8.83,1.8211992,21239.361,3.0,0.0,16.343367
11,19.5395,2012-01-12 00:00:00+00:00,19.5395,10.2895,0.0,0.0,10.4,1.9803643,27956.523,3.0,0.0,12.7279215
12,21.2395,2012-01-13 00:00:00+00:00,21.2395,10.5895,0.0,0.0,14.26,2.8391676,33890.08,2.0,0.0,12.864649
13,19.2395,2012-01-14 00:00:00+00:00,19.2395,9.639501,0.0,0.0,9.02,2.1869595,26896.648,3.0,0.0,9.028754
14,17.7395,2012-01-15 00:00:00+00:00,17.7395,11.889501,0.1,0.1,8.45,1.8137956,27815.537,51.0,1.0,10.948973
15,15.1895,2012-01-16 00:00:00+00:00,15.1895,11.1895,3.3,3.3,9.2,1.3940735,27818.512,53.0,10.0,18.709612
16,15.0895,2012-01-17 00:00:00+00:00,15.0895,8.1395,0.0,0.0,14.67,2.1939595,34155.89,3.0,0.0,20.304129
17,18.7395,2012-01-18 00:00:00+00:00,18.7395,6.6895,0.0,0.0,15.41,2.8659084,34228.406,0.0,0.0,18.0
18,18.1395,2012-01-19 00:00:00+00:00,18.1395,8.1895,0.0,0.0,15.51,3.1084547,34303.582,0.0,0.0,19.201874
19,17.9895,2012-01-20 00:00:00+00:00,17.9895,8.639501,0.0,0.0,15.33,3.2975223,34381.277,1.0,0.0,23.185787
20,16.9895,2012-01-21 00:00:00+00:00,16.9895,10.9395,0.0,0.0,9.09,1.8728025,24285.002,3.0,0.0,25.277025
21,17.2395,2012-01-22 00:00:00+00:00,17.2395,8.639501,0.4,0.4,13.91,2.2389214,30943.658,51.0,1.0,20.466246
22,16.839499,2012-01-23 00:00:00+00:00,16.839499,9.5895,0.0,0.0,12.6,2.4592566,34628.066,3.0,0.0,19.09358
23,18.339499,2012-01-24 00:00:00+00:00,18.339499,8.4395,1.0000001,1.0000001,14.14,2.3199685,29478.139,51.0,4.0,24.482647
24,22.2395,2012-01-25 00:00:00+00:00,22.2395,10.139501,0.0,0.0,15.55,3.7423468,34802.664,3.0,0.0,22.392464
25,23.089499,2012-01-26 00:00:00+00:00,23.089499,11.2895,0.0,0.0,15.93,2.9939501,34892.586,0.0,0.0,16.92383
26,20.689499,2012-01-27 00:00:00+00:00,20.689499,10.1895,0.0,0.0,15.57,2.7303996,34984.074,1.0,0.0,14.685176
27,23.089499,2012-01-28 00:00:00+00:00,23.089499,12.7895,0.0,0.0,16.54,3.952397,35077.01,1.0,0.0,16.375053
28,24.339499,2012-01-29 00:00:00+00:00,24.339499,12.5895,0.0,0.0,16.71,4.7551565,35171.273,1.0,0.0,13.363711
29,21.7895,2012-01-30 00:00:00+00:00,21.7895,10.1895,0.0,0.0,16.59,3.149129,35266.74,2.0,0.0,11.609651
30,17.2895,2012-01-31 00:00:00+00:00,17.2895,11.3395,0.0,0.0,15.63,2.5952945,35363.285,2.0,0.0,10.086427
31,18.339499,2012-02-01 00:00:00+00:00,18.339499,7.8395004,0.0,0.0,15.61,2.713711,35460.797,3.0,0.0,23.042812
32,17.339499,2012-02-02 00:00:00+00:00,17.339499,8.1395,0.0,0.0,16.52,3.08534,35559.16,1.0,0.0,17.238699
33,18.439499,2012-02-03 00:00:00+00:00,18.439499,9.7395,0.0,0.0,15.24,2.7457306,35658.258,3.0,0.0,13.37825
34,19.7895,2012-02-04 00:00:00+00:00,19.7895,9.889501,0.0,0.0,15.76,2.9268498,35757.98,3.0,0.0,13.797912
35,20.1395,2012-02-05 00:00:00+00:00,20.1395,10.0395,0.0,0.0,17.14,3.4294894,35856.55,3.0,0.0,11.966953
36,20.5395,2012-02-06 00:00:00+00:00,20.5395,9.0895,0.0,0.0,16.52,3.1886785,35912.125,3.0,0.0,11.841756
37,17.7395,2012-02-07 00:00:00+00:00,17.7395,10.139501,1.3000001,1.3000001,7.79,1.8125446,10430.425,55.0,2.0,27.792374
38,17.9895,2012-02-08 00:00:00+00:00,17.9895,11.3395,14.800001,14.800001,14.1,2.2321458,28800.0,63.0,16.0,19.694992
39,22.2395,2012-02-09 00:00:00+00:00,22.2395,11.0395,0.0,0.0,17.29,3.3627641,36000.0,1.0,0.0,19.083395
40,21.189499,2012-02-10 00:00:00+00:00,21.189499,10.8395,0.0,0.0,17.83,3.3084722,36005.35,1.0,0.0,19.376562
41,18.5395,2012-02-11 00:00:00+00:00,18.5395,10.5895,0.0,0.0,16.7,2.674435,36003.445,2.0,0.0,27.169865
42,14.389501,2012-02-12 00:00:00+00:00,14.389501,10.139501,0.0,0.0,12.91,2.1306388,36000.0,3.0,0.0,25.922499
