,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,28.75,2012-01-01 00:00:00+00:00,28.75,11.8,0.0,0.0,15.88,3.3772771,34203.55,0.0,0.0,9.178235
1,30.05,2012-01-02 00:00:00+00:00,30.05,11.8,0.0,0.0,15.53,3.8052852,34116.46,1.0,0.0,10.703569
2,30.2,2012-01-03 00:00:00+00:00,30.2,12.8,0.0,0.0,15.55,3.5338163,34218.887,3.0,0.0,10.00256
3,31.7,2012-01-04 00:00:00+00:00,31.7,12.65,0.0,0.0,15.84,4.72254,34078.49,3.0,0.0,15.5843
4,30.55,2012-01-05 00:00:00+00:00,30.55,10.1,0.0,0.0,16.28,5.2219725,34362.676,2.0,0.0,14.84318
5,29.3,2012-01-06 00:00:00+00:00,29.3,14.1,0.0,0.0,15.81,4.462225,34077.605,3.0,0.0,13.138765
6,26.5,2012-01-07 00:00:00+00:00,26.5,11.45,0.0,0.0,15.52,3.458044,34124.203,3.0,0.0,13.207634
7,23.4,2012-01-08 00:00:00+00:00,23.4,9.5,0.0,0.0,15.68,3.1785069,34171.42,3.0,0.0,14.168641
8,22.8,2012-01-09 00:00:00+00:00,22.8,5.0,0.0,0.0,15.87,4.0460215,34367.848,3.0,0.0,19.878391
9,25.25,2012-01-10 00:00:00+00:00,25.25,5.35,0.0,0.0,16.5,4.208653,34531.11,3.0,0.0,19.694992
10,24.85,2012-01-11 00:00:00+00:00,24.85,7.4,0.0,0.0,16.07,3.8057065,34579.207,3.0,0.0,12.57426
11,24.85,2012-01-12 00:00:00+00:00,24.85,8.6,0.0,0.0,15.13,3.8993511,32432.592,3.0,0.0,17.10284
12,25.1,2012-01-13 00:00:00+00:00,25.1,9.4,0.0,0.0,11.26,3.1941645,31835.61,3.0,0.0,13.089354
13,26.9,2012-01-14 00:00:00+00:00,26.9,13.45,0.0,0.0,15.5,3.9336417,32697.79,3.0,0.0,10.495713
14,26.6,2012-01-15 00:00:00+00:00,26.6,12.6,0.0,0.0,13.84,3.6239123,33002.77,3.0,0.0,10.24578
15,25.5,2012-01-16 00:00:00+00:00,25.5,11.25,0.0,0.0,15.88,3.8622823,33410.234,3.0,0.0,13.1041975
16,22.6,2012-01-17 00:00:00+00:00,22.6,10.55,0.0,0.0,16.17,3.162914,34636.754,3.0,0.0,24.269983
