,0,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,weather_code,precipitation_hours,wind_speed_10m_max
0,27.5695,2012-01-01 00:00:00+00:00,27.5695,9.669499,0.0,0.0,14.84,3.6080744,33872.977,0.0,0.0,15.7908325
1,29.5695,2012-01-02 00:00:00+00:00,29.5695,12.2695,0.0,0.0,14.97,4.112261,33953.66,1.0,0.0,15.158522
2,27.3195,2012-01-03 00:00:00+00:00,27.3195,12.669499,0.0,0.0,14.91,4.0060387,33996.965,3.0,0.0,15.5843
3,31.219501,2012-01-04 00:00:00+00:00,31.219501,13.0195,0.0,0.0,15.21,4.39496,33428.1,3.0,0.0,16.595179
4,29.619501,2012-01-05 00:00:00+00:00,29.619501,12.669499,0.0,0.0,15.75,5.431386,34086.82,1.0,0.0,16.418526
5,26.4195,2012-01-06 00:00:00+00:00,26.4195,13.3195,0.0,0.0,14.93,4.327076,32041.33,3.0,0.0,17.399586
6,22.469501,2012-01-07 00:00:00+00:00,22.469501,13.5695,0.0,0.0,14.92,2.7224174,34143.754,3.0,0.0,12.9249525
7,22.969501,2012-01-08 00:00:00+00:00,22.969501,10.2195,0.0,0.0,15.66,3.1944573,34194.7,1.0,0.0,19.592731
8,22.3195,2012-01-09 00:00:00+00:00,22.3195,9.3695,0.0,0.0,15.8,4.1292496,34243.492,3.0,0.0,20.870687
9,24.0195,2012-01-10 00:00:00+00:00,24.0195,8.1195,0.0,0.0,15.93,4.0034833,34325.812,2.0,0.0,19.469976
10,22.5195,2012-01-11 00:00:00+00:00,22.5195,12.4695,0.0,0.0,15.43,3.6381228,34339.137,3.0,0.0,21.046917
11,23.219501,2012-01-12 00:00:00+00:00,23.219501,11.8195,0.0,0.0,14.67,3.2973728,28905.986,3.0,0.0,18.448023
12,24.2695,2012-01-13 00:00:00+00:00,24.2695,10.7695,0.0,0.0,11.54,3.7344472,34438.613,3.0,0.0,18.692286
13,23.8195,2012-01-14 00:00:00+00:00,23.8195,12.8195,0.4,0.4,14.05,4.1098075,32400.0,51.0,2.0,12.599999
14,22.8195,2012-01-15 00:00:00+00:00,22.8195,15.8195,0.0,0.0,12.94,3.0883124,33860.176,3.0,0.0,14.168641
15,20.2695,2012-01-16 00:00:00+00:00,20.2695,11.0195,0.0,0.0,14.7,3.0037847,33757.457,3.0,0.0,18.218275
16,18.0195,2012-01-17 00:00:00+00:00,18.0195,11.2195,0.0,0.0,15.57,2.5423052,34637.29,3.0,0.0,21.166653
17,25.5195,2012-01-18 00:00:00+00:00,25.5195,7.3694997,0.0,0.0,15.85,3.2523143,34725.28,3.0,0.0,21.485697
18,24.869501,2012-01-19 00:00:00+00:00,24.869501,8.669499,0.0,0.0,16.99,4.680755,34815.906,2.0,0.0,19.48661
19,21.119501,2012-01-20 00:00:00+00:00,21.119501,7.8694997,0.0,0.0,15.55,2.7248862,34790.664,1.0,0.0,19.353138
20,19.2695,2012-01-21 00:00:00+00:00,19.2695,9.6195,0.0,0.0,15.66,2.4731212,34842.875,2.0,0.0,33.857227
21,24.8195,2012-01-22 00:00:00+00:00,24.8195,10.3195,0.0,0.0,16.51,3.2757626,34933.246,3.0,0.0,25.7041
22,22.3195,2012-01-23 00:00:00+00:00,22.3195,11.6195,0.0,0.0,16.76,3.765664,35031.492,3.0,0.0,29.52878
23,21.619501,2012-01-24 00:00:00+00:00,21.619501,11.5695,0.0,0.0,16.64,3.5474668,35001.625,3.0,0.0,28.075384
24,24.0195,2012-01-25 00:00:00+00:00,24.0195,11.8695,0.0,0.0,17.01,4.917222,35189.953,3.0,0.0,24.985659
25,26.6695,2012-01-26 00:00:00+00:00,26.6695,12.0695,0.0,0.0,17.49,5.346722,35246.426,0.0,0.0,23.683512
26,23.6695,2012-01-27 00:00:00+00:00,23.6695,13.4695,0.0,0.0,17.46,4.20936,35302.758,0.0,0.0,24.014996
27,26.7695,2012-01-28 00:00:00+00:00,26.7695,10.2195,0.0,0.0,17.05,3.5365174,35303.3,0.0,0.0,18.792551
28,28.7695,2012-01-29 00:00:00+00:00,28.7695,14.4695,0.0,0.0,17.74,6.4451203,35472.17,0.0,0.0,24.248611
