time,temperature_2m_max,temperature_2m_min,precipitation_sum,latitude,longitude
2012-01-01,21.5,11.5,0.0,31.667261,-116.518567
2012-01-02,22.5,11.4,0.0,31.667261,-116.518567
2012-01-03,20.9,12.5,0.0,31.667261,-116.518567
2012-01-04,23.6,12.0,0.0,31.667261,-116.518567
2012-01-05,24.4,12.8,0.0,31.667261,-116.518567
2012-01-06,20.1,11.7,0.0,31.667261,-116.518567
2012-01-07,14.7,10.8,0.0,31.667261,-116.518567
2012-01-08,18.5,10.8,0.0,31.667261,-116.518567
2012-01-09,19.1,10.4,0.0,31.667261,-116.518567
2012-01-10,17.8,9.5,0.0,31.667261,-116.518567
2012-01-11,17.4,9.6,0.0,31.667261,-116.518567
2012-01-12,18.1,12.3,0.0,31.667261,-116.518567
2012-01-13,20.3,11.3,0.0,31.667261,-116.518567
2012-01-14,18.3,11.4,0.0,31.667261,-116.518567
2012-01-15,15.5,12.1,2.9,31.667261,-116.518567
2012-01-16,14.2,10.9,1.8,31.667261,-116.518567
2012-01-17,13.7,9.0,0.0,31.667261,-116.518567
2012-01-18,17.1,7.7,0.0,31.667261,-116.518567
2012-01-19,17.0,9.3,0.0,31.667261,-116.518567
2012-01-20,16.6,9.7,0.0,31.667261,-116.518567
2012-01-21,14.8,10.9,2.1,31.667261,-116.518567
2012-01-22,15.4,8.9,0.0,31.667261,-116.518567
2012-01-23,14.0,10.3,5.5,31.667261,-116.518567
2012-01-24,16.6,10.3,0.2,31.667261,-116.518567
2012-01-25,21.6,12.3,0.0,31.667261,-116.518567
2012-01-26,21.4,12.0,0.0,31.667261,-116.518567
2012-01-27,21.5,11.8,0.0,31.667261,-116.518567
2012-01-28,22.3,16.0,0.0,31.667261,-116.518567
2012-01-29,22.8,12.2,0.0,31.667261,-116.518567
2012-01-30,18.4,11.3,0.0,31.667261,-116.518567
2012-01-31,15.6,10.9,0.0,31.667261,-116.518567
2012-02-01,17.4,9.6,0.0,31.667261,-116.518567
2012-02-02,15.7,9.5,0.0,31.667261,-116.518567
2012-02-03,18.3,10.7,0.0,31.667261,-116.518567
2012-02-04,18.6,10.7,0.0,31.667261,-116.518567
2012-02-05,19.2,10.5,0.0,31.667261,-116.518567
2012-02-06,18.6,10.3,0.0,31.667261,-116.518567
2012-02-07,15.8,12.6,11.0,31.667261,-116.518567
2012-02-08,16.9,12.8,4.3,31.667261,-116.518567
2012-02-09,21.1,12.0,0.0,31.667261,-116.518567
2012-02-10,18.6,11.3,0.0,31.667261,-116.518567
2012-02-11,14.3,12.3,0.0,31.667261,-116.518567
2012-02-12,14.0,11.8,1.6,31.667261,-116.518567
2012-02-13,14.4,11.2,0.8,31.667261,-116.518567
2012-02-14,13.3,9.4,5.8,31.667261,-116.518567
2012-02-15,13.3,9.0,4.3,31.667261,-116.518567
2012-02-16,15.8,7.8,0.0,31.667261,-116.518567
2012-02-17,17.1,9.7,0.0,31.667261,-116.518567
2012-02-18,14.5,9.5,0.0,31.667261,-116.518567
