Fecha Transplante,Fecha TransplanteTxt,AñoSiembra,Productor,Productor,Ha,Fecha Recibo,FechaRecibo txt,Año Recibo,Semana Recibo,Kilos,Clase,Tipo,Variedad,Parcela,Lote,Brix
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,9/6/2021,9-Jun-21,2021,24,225,BSUF,Uva Roja                                               ,Amaí,V02,27,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,14/06/2021,14-Jun-21,2021,25,565,BSUF,Uva Roja                                               ,Amaí,V02,27,7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,18/06/2021,18-Jun-21,2021,25,1881,BSUF,Uva Roja                                               ,Amaí,V02,27,9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,19/07/2021,19-Jul-21,2021,30,1320,BSUF,Uva Roja                                               ,Amaí,V02,27,11.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,25/06/2021,25-Jun-21,2021,26,908,BSUF,Uva Roja                                               ,Amaí,V02,27,8.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,25/06/2021,25-Jun-21,2021,26,618,BSUF,Uva Roja                                               ,Amaí,V02,27,8.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,2/7/2021,2-Jul-21,2021,27,2750,BSUF,Uva Roja                                               ,Amaí,V02,27,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,12/7/2021,12-Jul-21,2021,29,5376,BSUF,Uva Roja                                               ,Amaí,V02,27,6.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,3/8/2021,3-Aug-21,2021,32,3120,BSUF,Uva Roja                                               ,Amaí,V02,27,7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,5/8/2021,5-Aug-21,2021,32,5280,BSUF,Uva Roja                                               ,Amaí,V02,27,7.2
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,21/06/2021,21-Jun-21,2021,26,840,BSUF,Uva Roja                                               ,Amaí,V02,27,7.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,19/07/2021,19-Jul-21,2021,30,1440,BSUF,Uva Roja                                               ,Amaí,V02,27,11.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,6/7/2021,6-Jul-21,2021,28,1920,BSUF,Uva Roja                                               ,Amaí,V02,27,8.5
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,6/7/2021,6-Jul-21,2021,28,4400,BSUF,Uva Roja                                               ,Amaí,V02,27,6.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,6/7/2021,6-Jul-21,2021,28,600,BSUF,Uva Roja                                               ,Amaí,V02,27,6.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,18/07/2021,18-Jul-21,2021,30,11518,BSUF,Uva Roja                                               ,Amaí,V02,27,7.5
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,29/06/2021,29-Jun-21,2021,27,2811,BSUF,Uva Roja                                               ,Amaí,V02,27,7.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,29/07/2021,29-Jul-21,2021,31,1320,BSUF,Uva Roja                                               ,Amaí,V02,27,7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,5/6/2021,5-Jun-21,2021,23,408,BSUF,Uva Roja                                               ,Amaí,V02,27,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,29/06/2021,29-Jun-21,2021,27,664,BSUF,Uva Roja                                               ,Amaí,V02,27,7.7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,1/6/2021,1-Jun-21,2021,23,98,BSUF,Uva Roja                                               ,Amaí,V02,27,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,12/7/2021,12-Jul-21,2021,29,7128,BSUF,Uva Roja                                               ,Amaí,V02,27,7.6
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.976,12/7/2021,12-Jul-21,2021,29,576,BSUF,Uva Roja                                               ,Amaí,V02,27,8.5
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,12/7/2021,12-Jul-21,2021,29,4464,BSUF,Uva Roja                                               ,Amaí,V02,23,8.5
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,1/6/2021,1-Jun-21,2021,23,84,BSUF,Uva Roja                                               ,Amaí,V02,23,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,7/7/2021,7-Jul-21,2021,28,2885,BSUF,Uva Roja                                               ,Amaí,V02,23,6.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,3/7/2021,3-Jul-21,2021,27,696,BSUF,Uva Roja                                               ,Amaí,V02,23,7.7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,5/6/2021,5-Jun-21,2021,23,244,BSUF,Uva Roja                                               ,Amaí,V02,23,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,29/07/2021,29-Jul-21,2021,31,660,BSUF,Uva Roja                                               ,Amaí,V02,23,7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,29/06/2021,29-Jun-21,2021,27,1980,BSUF,Uva Roja                                               ,Amaí,V02,23,7.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,6/7/2021,6-Jul-21,2021,28,552,BSUF,Uva Roja                                               ,Amaí,v02,27,6.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,19/07/2021,19-Jul-21,2021,30,2640,BSUF,Uva Roja                                               ,Amaí,V02,23,11.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,21/06/2021,21-Jun-21,2021,26,480,BSUF,Uva Roja                                               ,Amaí,V02,23,7.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,5/8/2021,5-Aug-21,2021,32,330,BSUF,Uva Roja                                               ,Amaí,V02,23,7.2
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,2/7/2021,2-Jul-21,2021,27,3102,BSUF,Uva Roja                                               ,Amaí,V02,23,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,25/06/2021,25-Jun-21,2021,26,452,BSUF,Uva Roja                                               ,Amaí,V02,23,8.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,19/07/2021,19-Jul-21,2021,30,2640,BSUF,Uva Roja                                               ,Amaí,V02,23,11.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,14/06/2021,14-Jun-21,2021,25,557,BSUF,Uva Roja                                               ,Amaí,V02,23,7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,18/06/2021,18-Jun-21,2021,25,378,BSUF,Uva Roja                                               ,Amaí,V02,23,9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.552,9/6/2021,9-Jun-21,2021,24,331,BSUF,Uva Roja                                               ,Amaí,V02,23,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,9/6/2021,9-Jun-21,2021,24,169,BSUF,Uva Roja                                               ,Amaí,V02,14,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,18/06/2021,18-Jun-21,2021,25,264,BSUF,Uva Roja                                               ,Amaí,V02,14,9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,22/06/2021,22-Jun-21,2021,26,12,BSUF,Uva Roja                                               ,Amaí,V02,14,7.7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,19/07/2021,19-Jul-21,2021,30,1320,BSUF,Uva Roja                                               ,Amaí,V02,14,11.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,20/07/2021,20-Jul-21,2021,30,3520,BSUF,Uva Roja                                               ,Amaí,V02,14,7.5
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,25/06/2021,25-Jun-21,2021,26,671,BSUF,Uva Roja                                               ,Amaí,V02,14,8.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,25/06/2021,25-Jun-21,2021,26,11,BSUF,Uva Roja                                               ,Amaí,V02,14,8.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,29/06/2021,29-Jun-21,2021,27,638,BSUF,Uva Roja                                               ,Amaí,V02,14,7.7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,30/06/2021,30-Jun-21,2021,27,44,BSUF,Uva Roja                                               ,Amaí,V02,14,8.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,13/07/2021,13-Jul-21,2021,29,5016,BSUF,Uva Roja                                               ,Amaí,V02,14,7.5
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,5/8/2021,5-Aug-21,2021,32,979,BSUF,Uva Roja                                               ,Amaí,V02,14,7.2
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,21/06/2021,21-Jun-21,2021,26,282,BSUF,Uva Roja                                               ,Amaí,V02,14,7.9
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,16/07/2021,16-Jul-21,2021,29,24,BSUF,Uva Roja                                               ,Amaí,V02,14,8.2
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,19/07/2021,19-Jul-21,2021,30,1440,BSUF,Uva Roja                                               ,Amaí,V02,14,11.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,16/07/2021,16-Jul-21,2021,29,975,BSUF,Uva Roja                                               ,Amaí,V02,14,7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,16/07/2021,16-Jul-21,2021,29,187,BSUF,Uva Roja                                               ,Amaí,V02,14,7.3
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,27/07/2021,27-Jul-21,2021,31,663,BSUF,Uva Roja                                               ,Amaí,V02,14,7.1
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,30/06/2021,30-Jun-21,2021,27,1401,BSUF,Uva Roja                                               ,Amaí,V02,14,7.8
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,1/7/2021,1-Jul-21,2021,27,55,BSUF,Uva Roja                                               ,Amaí,V02,14,7.5
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,1/7/2021,1-Jul-21,2021,27,58,BSUF,Uva Roja                                               ,Amaí,V02,14,7.7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,13/07/2021,13-Jul-21,2021,29,2160,BSUF,Uva Roja                                               ,Amaí,V02,14,8.4
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,26/06/2021,26-Jun-21,2021,26,33,BSUF,Uva Roja                                               ,Amaí,V02,14,7
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.5883,29/07/2021,29-Jul-21,2021,31,275,BSUF,Uva Roja                                               ,Amaí,V02,14,7
