PlantingID,WeeksAfterTransplant,Kilos,Year,Brix
2013-02-13_Felicity_ZJL_Z18_6_0.39,11,176.0,2013,5.2
2013-02-13_Felicity_ZJL_Z18_6_0.39,12,384.0,2013,5.7
2013-02-13_Felicity_ZJL_Z18_6_0.39,13,1248.0,2013,5.5
2013-02-13_Felicity_ZJL_Z18_6_0.39,14,1888.0,2013,6.2
2013-02-13_Felicity_ZJL_Z18_6_0.39,15,3056.0,2013,6.5
2013-02-13_Felicity_ZJL_Z18_6_0.39,16,6790.0,2013,7.099999999999999
2013-02-13_Felicity_ZJL_Z18_6_0.39,17,4064.0,2013,6.0
2013-02-13_Felicity_ZJL_Z18_6_0.39,19,3696.0,2013,4.866666666666667
2013-02-13_Shiren_ZJL_Z18_6_0.39,12,1120.0,2013,5.35
2013-02-13_Shiren_ZJL_Z18_6_0.39,13,1472.0,2013,5.9
2013-02-13_Shiren_ZJL_Z18_6_0.39,14,3856.0,2013,6.633333333333333
2013-02-13_Shiren_ZJL_Z18_6_0.39,15,4304.0,2013,7.4
2013-02-13_Shiren_ZJL_Z18_6_0.39,16,5100.0,2013,8.1
2013-02-13_Shiren_ZJL_Z18_6_0.39,17,3706.0,2013,6.075
2013-02-13_Shiren_ZJL_Z18_6_0.39,18,96.0,2013,6.3
2013-02-13_Shiren_ZJL_Z18_6_0.39,19,3164.0,2013,4.766666666666667
2013-02-13_Shiren_ZJL_Z18_6_0.39,20,224.0,2013,4.65
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,11,112.0,2013,6.5
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,12,320.0,2013,8.25
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,13,400.0,2013,7.5
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,14,736.0,2013,7.5
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,15,1344.0,2013,7.8
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,16,1344.0,2013,5.2
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,19,2096.0,2013,5.2
2013-02-15_Amsterdam_ZJL_Z18_2_0.27,20,880.0,2013,6.2
2013-02-15_Felicity_ZJL_Z18_5_0.21,11,64.0,2013,5.2
2013-02-15_Felicity_ZJL_Z18_5_0.21,12,544.0,2013,5.9
2013-02-15_Felicity_ZJL_Z18_5_0.21,13,1600.0,2013,6.2
2013-02-15_Felicity_ZJL_Z18_5_0.21,14,2672.0,2013,6.2
2013-02-15_Felicity_ZJL_Z18_5_0.21,16,4816.0,2013,7.1
2013-02-15_Felicity_ZJL_Z18_5_0.21,18,4000.0,2013,5.6
2013-02-15_Felicity_ZJL_Z18_5_0.21,19,1545.0,2013,5.2
2013-02-15_Felicity_ZJL_Z18_5_0.21,20,3088.0,2013,4.1
2013-02-15_Olivia_ZJL_Z18_2_0.54,12,512.0,2013,8.25
2013-02-15_Olivia_ZJL_Z18_2_0.54,13,880.0,2013,7.5
2013-02-15_Olivia_ZJL_Z18_2_0.54,14,3680.0,2013,7.833333333333333
2013-02-15_Olivia_ZJL_Z18_2_0.54,15,3696.0,2013,7.1
2013-02-15_Olivia_ZJL_Z18_2_0.54,16,1696.0,2013,5.2
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,11,256.0,2013,6.0
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,12,800.0,2013,8.1
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,13,1344.0,2013,7.55
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,14,1808.0,2013,7.5
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,15,3552.0,2013,7.8
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,16,5072.0,2013,5.2
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,17,9616.0,2013,6.9
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,19,9610.0,2013,5.583333333333333
2013-02-16_Amsterdam_ZJL_Z18_1_0.81,20,7856.0,2013,6.2
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,12,80.0,2013,6.2
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,13,64.0,2013,5.6
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,14,304.0,2013,6.2
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,15,2416.0,2013,7.9
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,17,16.0,2013,8.5
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,18,1280.0,2013,6.5
2013-02-17_Pera Amarilla_ZJL_Z18_4_0.19,20,480.0,2013,5.0
2013-02-17_Pera Roja_ZJL_Z18_4_0.17,12,48.0,2013,5.6
2013-02-17_Pera Roja_ZJL_Z18_4_0.17,13,48.0,2013,6.2
2013-02-17_Pera Roja_ZJL_Z18_4_0.17,14,176.0,2013,5.6
2013-02-17_Pera Roja_ZJL_Z18_4_0.17,16,540.0,2013,5.2
2013-02-17_Pera Roja_ZJL_Z18_4_0.17,17,2064.0,2013,7.05
2013-02-17_Pera Roja_ZJL_Z18_4_0.17,19,256.0,2013,5.2
2013-02-17_Perla_ZJL_Z18_4_0.06,12,16.0,2013,6.5
2013-02-17_Perla_ZJL_Z18_4_0.06,13,64.0,2013,6.05
2013-02-17_Perla_ZJL_Z18_4_0.06,14,160.0,2013,6.15
2013-02-17_Perla_ZJL_Z18_4_0.06,20,16.0,2013,4.0
2013-02-20_Felicity_ZJL_Z18_5_0.33,14,4320.0,2013,6.800000000000001
2013-02-20_Felicity_ZJL_Z18_5_0.33,17,3264.0,2013,5.85
2013-02-20_Shiren_ZJL_Z18_5_0.27,11,304.0,2013,5.65
2013-02-20_Shiren_ZJL_Z18_5_0.27,12,1296.0,2013,5.6
2013-02-20_Shiren_ZJL_Z18_5_0.27,13,2160.0,2013,5.85
2013-02-20_Shiren_ZJL_Z18_5_0.27,14,848.0,2013,5.6
2013-02-20_Shiren_ZJL_Z18_5_0.27,15,7880.0,2013,5.640000000000001
2013-02-20_Shiren_ZJL_Z18_5_0.27,16,1152.0,2013,6.5
2013-02-20_Shiren_ZJL_Z18_5_0.27,17,4384.0,2013,7.35
2013-02-20_Shiren_ZJL_Z18_5_0.27,18,2992.0,2013,5.9
2013-02-20_Shiren_ZJL_Z18_5_0.27,19,880.0,2013,4.1
2013-02-20_Shiren_ZJL_Z18_5_0.27,20,1056.0,2013,6.2
2013-02-21_Black Pear_ZJL_Z18_4_0.06,12,80.0,2013,6.5
2013-02-21_Black Pear_ZJL_Z18_4_0.06,13,208.0,2013,6.5
2013-02-21_Black Pear_ZJL_Z18_4_0.06,14,480.0,2013,6.5
2013-02-21_Black Pear_ZJL_Z18_4_0.06,15,456.0,2013,7.3
2013-02-21_Black Pear_ZJL_Z18_4_0.06,17,880.0,2013,5.75
2013-02-21_Black Pear_ZJL_Z18_4_0.06,19,592.0,2013,4.2
2013-02-21_Black Pear_ZJL_Z18_4_0.06,20,208.0,2013,4.6
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,12,192.0,2013,6.2
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,13,880.0,2013,6.2
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,15,1096.0,2013,5.949999999999999
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,16,1184.0,2013,6.6
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,18,32.0,2013,6.2
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,19,64.0,2013,3.5999999999999996
2013-02-21_Pera Amarilla_ZJL_Z18_4_0.14,20,256.0,2013,5.2
2013-02-21_Pera Roja_ZJL_Z18_4_0.1,12,64.0,2013,5.6
2013-02-21_Pera Roja_ZJL_Z18_4_0.1,17,1424.0,2013,6.4
2013-02-21_Pera Roja_ZJL_Z18_4_0.1,18,2048.0,2013,5.2
2013-02-21_Pera Roja_ZJL_Z18_4_0.1,19,832.0,2013,4.5
2013-02-21_Pera Roja_ZJL_Z18_4_0.1,20,2080.0,2013,4.8
2013-02-21_Perla_ZJL_Z18_4_0.04,13,128.0,2013,6.5
2013-02-21_Perla_ZJL_Z18_4_0.04,14,416.0,2013,6.35
2013-02-21_Perla_ZJL_Z18_4_0.04,15,120.0,2013,7.0
2013-02-21_Perla_ZJL_Z18_4_0.04,17,1360.0,2013,6.35
2013-02-21_Perla_ZJL_Z18_4_0.04,18,352.0,2013,4.1
2013-02-21_Perla_ZJL_Z18_4_0.04,19,160.0,2013,5.2
2013-02-21_Perla_ZJL_Z18_4_0.04,20,928.0,2013,4.1
2013-02-21_Shiren_ZJL_Z18_4_0.04,11,32.0,2013,5.4
2013-02-21_Shiren_ZJL_Z18_4_0.04,12,448.0,2013,5.6
2013-02-21_Shiren_ZJL_Z18_4_0.04,13,416.0,2013,5.5
2013-02-21_Shiren_ZJL_Z18_4_0.04,15,887.0,2013,5.75
2013-02-21_Shiren_ZJL_Z18_4_0.04,20,176.0,2013,6.2
2013-02-23_Amaí_ZJL_Z17_8_0.51,10,80.0,2013,6.9
2013-02-23_Amaí_ZJL_Z17_8_0.51,11,128.0,2013,7.5
2013-02-23_Amaí_ZJL_Z17_8_0.51,12,80.0,2013,7.5
2013-02-23_Amaí_ZJL_Z17_8_0.51,13,1312.0,2013,8.7
2013-02-23_Amaí_ZJL_Z17_8_0.51,14,880.0,2013,8.3
2013-02-23_Amaí_ZJL_Z17_8_0.51,15,3248.0,2013,5.9
2013-02-23_Amaí_ZJL_Z17_8_0.51,16,6634.0,2013,7.166666666666667
2013-02-23_Amaí_ZJL_Z17_8_0.51,17,2032.0,2013,6.2
2013-02-23_Amaí_ZJL_Z17_8_0.51,19,1760.0,2013,6.2
2013-02-23_Amsterdam_ZJL_Z17_8_0.15,10,16.0,2013,6.9
2013-02-23_Amsterdam_ZJL_Z17_8_0.15,11,32.0,2013,8.5
2013-02-23_Amsterdam_ZJL_Z17_8_0.15,14,208.0,2013,8.3
2013-02-23_Amsterdam_ZJL_Z17_8_0.15,15,736.0,2013,6.5
2013-02-23_Amsterdam_ZJL_Z17_8_0.15,16,1344.0,2013,7.1
2013-02-23_Amsterdam_ZJL_Z17_8_0.15,17,880.0,2013,6.5
2013-02-23_Amsterdam_ZJL_Z17_8_0.15,18,2672.0,2013,5.75
2013-02-23_Olivia_ZJL_Z17_8_0.16,10,16.0,2013,6.9
2013-02-23_Olivia_ZJL_Z17_8_0.16,14,752.0,2013,8.3
2013-02-23_Olivia_ZJL_Z17_8_0.16,15,1456.0,2013,7.8
2013-02-23_Olivia_ZJL_Z17_8_0.16,16,656.0,2013,7.1
2013-02-23_Olivia_ZJL_Z17_8_0.16,17,1760.0,2013,6.2
2013-02-25_Amaí_ZJL_Z17_4_0.73,9,160.0,2013,6.9
2013-02-25_Amaí_ZJL_Z17_4_0.73,10,256.0,2013,7.5
2013-02-25_Amaí_ZJL_Z17_4_0.73,11,144.0,2013,7.5
2013-02-25_Amaí_ZJL_Z17_4_0.73,12,1488.0,2013,7.5
2013-02-25_Amaí_ZJL_Z17_4_0.73,13,2736.0,2013,8.3
2013-02-25_Amaí_ZJL_Z17_4_0.73,14,9408.0,2013,6.8
2013-02-25_Amaí_ZJL_Z17_4_0.73,15,4380.0,2013,6.85
2013-02-25_Amaí_ZJL_Z17_4_0.73,16,8768.0,2013,6.5
2013-02-25_Amaí_ZJL_Z17_4_0.73,17,1760.0,2013,6.2
2013-02-25_Amaí_ZJL_Z17_4_0.73,18,6336.0,2013,5.1
2013-02-25_Baby Black Plum_ZJL_Z17_4_0.02,10,32.0,2013,5.6
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,10,16.0,2013,5.6
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,12,32.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,13,112.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,14,176.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,15,210.0,2013,5.2
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,16,496.0,2013,6.5
2013-02-25_Sweet Treats_ZJL_Z17_4_0.02,18,256.0,2013,6.0
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,12,48.0,2013,6.5
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,13,80.0,2013,8.9
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,14,128.0,2013,6.5
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,16,512.0,2013,5.7
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,17,48.0,2013,5.2
2013-02-25_Tangerina Grape_ZJL_Z17_4_0.03,18,304.0,2013,5.3
2013-03-01_Amaí_ZJL_Z17_11_0.37,9,16.0,2013,6.5
2013-03-01_Amaí_ZJL_Z17_11_0.37,10,256.0,2013,7.65
2013-03-01_Amaí_ZJL_Z17_11_0.37,11,64.0,2013,7.5
