transplant_date,parcel,lot,ranch,variety,ha,class,type,transplant_week,year
2012-03-28,N02,7,OAP,Shiren,0.133,Cherry,Cherry Rojo,13,2012
2013-02-13,Z18,6,ZJL,Felicity,0.3938,Cherry,Cherry Rojo,7,2013
2013-02-13,Z18,6,ZJL,Shiren,0.3938,Cherry,Cherry Rojo,7,2013
2013-02-15,Z18,2,ZJL,Amsterdam,0.27,Uva,Uva Roja,7,2013
2013-02-15,Z18,2,ZJL,Olivia,0.54,Uva,Uva Roja,7,2013
2013-02-15,Z18,5,ZJL,Felicity,0.2138,Cherry,Cherry Rojo,7,2013
2013-02-17,Z18,4,ZJL,Pera Amarilla,0.1913,Mix,Pera,7,2013
2013-02-17,Z18,4,ZJL,Pera Roja,0.1688,Mix,Pera,7,2013
2013-02-17,Z18,4,ZJL,Perla,0.0563,Mix,Cherry Amarillo,7,2013
2013-02-20,Z18,5,ZJL,Felicity,0.3263,Cherry,Cherry Rojo,8,2013
2013-02-20,Z18,5,ZJL,Shiren,0.27,Cherry,Cherry Rojo,8,2013
2013-02-21,Z18,4,ZJL,Black Pear,0.0563,Mix,Heirloom Cherry,8,2013
2013-02-21,Z18,4,ZJL,Pera Amarilla,0.135,Mix,Pera,8,2013
2013-02-21,Z18,4,ZJL,Pera Roja,0.1013,Mix,Pera,8,2013
2013-02-21,Z18,4,ZJL,Perla,0.045,Mix,Cherry Amarillo,8,2013
2013-02-21,Z18,4,ZJL,Shiren,0.045,Cherry,Cherry Rojo,8,2013
2013-02-23,Z17,8,ZJL,Amaí,0.5063,Uva,Uva Roja,8,2013
2013-02-23,Z17,8,ZJL,Amsterdam,0.1463,Uva,Uva Roja,8,2013
2013-02-23,Z17,8,ZJL,Olivia,0.1575,Uva,Uva Roja,8,2013
2013-02-25,Z17,4,ZJL,Amaí,0.7313,Uva,Uva Roja,9,2013
2013-02-25,Z17,4,ZJL,Sweet Treats,0.0225,Mix,Cherry Rosa,9,2013
2013-02-25,Z17,4,ZJL,Tangerina Grape,0.0338,Mix,Heirloom Cherry,9,2013
2013-03-01,Z17,11,ZJL,Amaí,0.3713,Uva,Uva Roja,9,2013
2013-03-01,Z17,11,ZJL,Baby Black Plum,0.09,Mix,Heirloom Cherry,9,2013
2013-03-01,Z17,11,ZJL,Habanero Rojo,0.0788,Mix,Heirloom Cherry,9,2013
2013-03-01,Z17,11,ZJL,Habanero Tangerina,0.0675,Mix,Heirloom Cherry,9,2013
2013-03-12,V02,6,VAP,Honey Bunch,0.113,Mix,Uva Amarilla,11,2013
2013-03-12,V02,6,VAP,Pera Amarilla,0.1808,Mix,Pera,11,2013
2013-03-12,V02,6,VAP,Pera Amarilla,0.226,Mix,Pera,11,2013
2013-03-12,V02,7,VAP,Amaí,0.3876,Uva,Uva Roja,11,2013
2013-03-12,V02,7,VAP,Amsterdam,0.456,Uva,Uva Roja,11,2013
2013-03-12,V02,10,VAP,Felicity,0.148,Cherry,Cherry Rojo,11,2013
2013-03-12,V02,11,VAP,Felicity,0.4416,Cherry,Cherry Rojo,11,2013
2013-03-12,V02,11,VAP,Perla,0.0768,Mix,Cherry Amarillo,11,2013
2013-03-12,V02,11,VAP,Sweet Treats,0.0192,Mix,Cherry Rosa,11,2013
2013-03-12,V02,11,VAP,Sweet Treats,0.0576,Mix,Cherry Rosa,11,2013
2013-03-13,V02,2,VAP,Amsterdam,0.6164,Uva,Uva Roja,11,2013
2013-03-13,V02,3,VAP,Amsterdam,0.1708,Uva,Uva Roja,11,2013
2013-03-13,V02,3,VAP,Amsterdam,0.2196,Uva,Uva Roja,11,2013
2013-03-13,V02,6,VAP,Pera Roja,0.0452,Mix,Pera,11,2013
2013-03-13,V02,6,VAP,Pera Roja,0.226,Mix,Pera,11,2013
2013-03-13,V02,9,VAP,Olivia,0.816,Uva,Uva Roja,11,2013
2013-03-16,V02,8,VAP,Olivia,0.792,Uva,Uva Roja,11,2013
2013-03-16,V02,9,VAP,Olivia,0.128,Uva,Uva Roja,11,2013
2013-03-16,V02,29,VAP,Amsterdam,0.6048,Uva,Uva Roja,11,2013
2013-03-18,V02,15,VAP,Amaí,0.4576,Uva,Uva Roja,12,2013
2013-03-18,V02,19,VAP,Amaí,0.104,Uva,Uva Roja,12,2013
2013-03-18,V02,19,VAP,Amsterdam,0.2912,Uva,Uva Roja,12,2013
2013-03-18,V02,32,VAP,Amsterdam,0.4032,Uva,Uva Roja,12,2013
2013-03-18,V02,56,VAP,Baby Black Plum,0.1176,Mix,Heirloom Cherry,12,2013
2013-03-18,V02,56,VAP,Black Pear,0.2016,Mix,Heirloom Cherry,12,2013
2013-03-18,V02,56,VAP,Habanero Rojo,0.1008,Mix,Heirloom Cherry,12,2013
2013-03-18,V02,56,VAP,Habanero Tangerina,0.084,Mix,Heirloom Cherry,12,2013
2013-03-18,V02,56,VAP,Honey Bunch,0.0504,Mix,Uva Amarilla,12,2013
2013-03-18,V02,56,VAP,Tangerina Grape,0.0504,Mix,Heirloom Cherry,12,2013
2013-03-20,V02,26,VAP,Felicity,0.264,Cherry,Cherry Rojo,12,2013
2013-03-20,V02,26,VAP,Shiren,0.4048,Cherry,Cherry Rojo,12,2013
2013-03-27,S24,1,SFB,Amaí,0.3024,Uva,Uva Roja,13,2013
2013-03-27,S24,1,SFB,Amsterdam,0.8568,Uva,Uva Roja,13,2013
2013-03-27,S24,1,SFB,Olivia,0.1512,Uva,Uva Roja,13,2013
2013-03-27,S24,2,SFB,Shiren,0.5616,Cherry,Cherry Rojo,13,2013
2013-03-27,S24,3,SFB,Honey Bunch,0.1458,Mix,Uva Amarilla,13,2013
2013-03-27,S24,3,SFB,Pera Amarilla,0.081,Mix,Pera,13,2013
2013-03-27,S24,3,SFB,Pera Roja,0.1134,Mix,Pera,13,2013
2013-03-28,N02,7,OAP,Olivia,0.0532,Uva,Uva Roja,13,2013
2013-03-28,N02,7,OAP,Pera Amarilla,0.0266,Mix,Pera,13,2013
2013-03-28,N02,7,OAP,Pera Roja,0.0266,Mix,Pera,13,2013
2013-03-28,N02,10,OAP,Amsterdam,0.1995,Uva,Uva Roja,13,2013
2013-03-28,N02,10,OAP,Felicity,0.0665,Cherry,Cherry Rojo,13,2013
2013-03-28,N02,10,OAP,Olivia,0.0399,Uva,Uva Roja,13,2013
2013-03-28,N02,10,OAP,Pera Amarilla,0.0266,Mix,Pera,13,2013
2013-03-28,N02,10,OAP,Pera Roja,0.0266,Mix,Pera,13,2013
2013-03-28,N02,10,OAP,Shiren,0.133,Cherry,Cherry Rojo,13,2013
2013-03-29,N06,38,OSF,Amaí,0.1197,Uva,Uva Roja,13,2013
2013-03-29,N06,38,OSF,Olivia,0.2052,Uva,Uva Roja,13,2013
2013-03-29,N06,38,OSF,Shiren,0.0855,Cherry,Cherry Rojo,13,2013
2013-03-29,V01,43,VAP,Amsterdam,0.46,Uva,Uva Roja,13,2013
2013-03-29,V01,43,VAP,Felicity,0.345,Cherry,Cherry Rojo,13,2013
2013-03-29,V01,43,VAP,Honey Bunch,0.138,Mix,Uva Amarilla,13,2013
2013-03-29,V01,43,VAP,Pera Amarilla,0.391,Mix,Pera,13,2013
2013-03-29,V01,43,VAP,Perla,0.069,Mix,Cherry Amarillo,13,2013
2013-03-29,V01,44,VAP,Pera Roja,0.168,Mix,Pera,13,2013
2013-03-30,N06,47,OSF,Olivia,0.2223,Uva,Uva Roja,13,2013
2013-03-30,N06,47,OSF,Pera Amarilla,0.0513,Mix,Pera,13,2013
2013-04-05,S03,2,SAB,Black Pear,0.032,Mix,Heirloom Cherry,14,2013
2013-04-05,S03,2,SAB,Habanero Rojo,0.032,Mix,Heirloom Cherry,14,2013
2013-04-05,S03,2,SAB,Habanero Rojo,0.048,Mix,Heirloom Cherry,14,2013
2013-04-05,S03,2,SAB,Habanero Tangerina,0.032,Mix,Heirloom Cherry,14,2013
2013-04-05,S03,2,SAB,Habanero Tangerina,0.064,Mix,Heirloom Cherry,14,2013
2013-04-05,S03,2,SAB,Pera Amarilla,0.112,Mix,Pera,14,2013
2013-04-05,S03,2,SAB,Pera Roja,0.112,Mix,Pera,14,2013
2013-04-05,S03,2,SAB,Perla,0.032,Mix,Cherry Amarillo,14,2013
2013-04-05,S03,2,SAB,Shiren,0.336,Cherry,Cherry Rojo,14,2013
2013-04-05,S03,2,SAB,Sweet Treats,0.032,Mix,Cherry Rosa,14,2013
2013-04-05,S03,6,SAB,Amaí,0.096,Uva,Uva Roja,14,2013
2013-04-05,S03,6,SAB,Felicity,0.256,Cherry,Cherry Rojo,14,2013
2013-04-05,S03,6,SAB,Shiren,0.032,Cherry,Cherry Rojo,14,2013
2013-04-05,S10,1,SAB,Amaí,0.112,Uva,Uva Roja,14,2013
2013-04-05,S10,1,SAB,Amsterdam,0.48,Uva,Uva Roja,14,2013
2013-04-05,S10,1,SAB,Olivia,0.048,Uva,Uva Roja,14,2013
2013-04-05,S10,2,SAB,Olivia,0.224,Uva,Uva Roja,14,2013
2013-04-15,S03,1,SAB,Olivia,0.36,Uva,Uva Roja,16,2013
2013-04-24,S01,1,SAB,Felicity,0.512,Cherry,Cherry Rojo,17,2013
2013-04-24,S01,2,SAB,Honey Bunch,0.096,Mix,Uva Amarilla,17,2013
2013-04-24,S01,2,SAB,Pera Amarilla,0.224,Mix,Pera,17,2013
2013-04-24,S01,2,SAB,Pera Roja,0.208,Mix,Pera,17,2013
2013-04-24,S01,2,SAB,Shiren,0.608,Cherry,Cherry Rojo,17,2013
2013-04-24,S01,3,SAB,Amaí,0.256,Uva,Uva Roja,17,2013
2013-04-24,S01,3,SAB,Amsterdam,0.848,Uva,Uva Roja,17,2013
2013-04-24,S01,3,SAB,Olivia,0.128,Uva,Uva Roja,17,2013
2013-04-29,S01,8,SAB,Honey Bunch,0.096,Mix,Uva Amarilla,18,2013
2013-04-29,S01,8,SAB,Olivia,0.64,Uva,Uva Roja,18,2013
2013-05-10,N02,8,OAP,Amaí,0.09,Uva,Uva Roja,19,2013
2013-05-10,N02,8,OAP,Amsterdam,0.144,Uva,Uva Roja,19,2013
2013-05-10,N02,8,OAP,Felicity,0.162,Cherry,Cherry Rojo,19,2013
2013-05-10,N02,8,OAP,Honey Bunch,0.072,Mix,Uva Amarilla,19,2013
2013-05-10,N02,8,OAP,Olivia,0.216,Uva,Uva Roja,19,2013
2013-05-10,N02,8,OAP,Pera Amarilla,0.018,Mix,Pera,19,2013
2013-05-10,N02,8,OAP,Pera Roja,0.054,Mix,Pera,19,2013
2013-05-10,N02,8,OAP,Shiren,0.18,Cherry,Cherry Rojo,19,2013
2013-05-10,N02,9,OAP,Amaí,0.126,Uva,Uva Roja,19,2013
2013-05-10,N02,9,OAP,Amsterdam,0.144,Uva,Uva Roja,19,2013
2013-05-10,N02,9,OAP,Felicity,0.162,Cherry,Cherry Rojo,19,2013
2013-05-10,N02,9,OAP,Honey Bunch,0.054,Mix,Uva Amarilla,19,2013
2013-05-10,N02,9,OAP,Olivia,0.198,Uva,Uva Roja,19,2013
2013-05-10,N02,9,OAP,Pera Amarilla,0.054,Mix,Pera,19,2013
2013-05-10,N02,9,OAP,Pera Roja,0.054,Mix,Pera,19,2013
2013-05-10,N02,9,OAP,Shiren,0.18,Cherry,Cherry Rojo,19,2013
2013-05-11,N02,16,OAP,Amsterdam,0.396,Uva,Uva Roja,19,2013
2013-05-11,N02,16,OAP,Pera Amarilla,0.018,Mix,Pera,19,2013
2013-05-11,N02,16,OAP,Perla,0.018,Mix,Cherry Amarillo,19,2013
2013-05-11,N02,16,OAP,Shiren,0.18,Cherry,Cherry Rojo,19,2013
2013-05-13,N05,23,SFB,Amaí,0.3312,Uva,Uva Roja,20,2013
2013-05-13,N05,24,SFB,Shiren,0.3888,Cherry,Cherry Rojo,20,2013
2013-05-13,N05,31,SFB,Habanero Rojo,0.072,Mix,Heirloom Cherry,20,2013
2013-05-13,N05,31,SFB,Habanero Tangerina,0.0432,Mix,Heirloom Cherry,20,2013
2013-05-13,N05,31,SFB,Perla,0.0288,Mix,Cherry Amarillo,20,2013
2013-05-13,N05,31,SFB,Sweet Treats,0.0144,Mix,Cherry Rosa,20,2013
2013-05-14,N02,16,OAP,Amaí,0.27,Uva,Uva Roja,20,2013
2013-05-16,N02,16,OAP,Felicity,0.054,Cherry,Cherry Rojo,20,2013
2013-05-21,N06,37,OSF,Olivia,0.4446,Uva,Uva Roja,21,2013
2013-05-21,N07,61,OSF,Amaí,0.0513,Uva,Uva Roja,21,2013
2013-05-21,N07,61,OSF,Honey Bunch,0.0684,Mix,Uva Amarilla,21,2013
2013-05-21,N07,61,OSF,Pera Amarilla,0.1026,Mix,Pera,21,2013
2013-05-21,N07,61,OSF,Pera Roja,0.1368,Mix,Pera,21,2013
2013-05-21,N07,61,OSF,Perla,0.0684,Mix,Cherry Amarillo,21,2013
2013-05-28,N07,55,OAP,Amaí,0.171,Uva,Uva Roja,22,2013
2013-05-28,N07,55,OAP,Amsterdam,0.3078,Uva,Uva Roja,22,2013
2013-05-28,N07,55,OAP,Olivia,0.2394,Uva,Uva Roja,22,2013
2013-05-28,N07,55,OAP,Shiren,0.1539,Cherry,Cherry Rojo,22,2013
2013-05-28,N07,58,OAP,Amsterdam,0.3078,Uva,Uva Roja,22,2013
2013-05-28,N07,58,OAP,Olivia,0.2394,Uva,Uva Roja,22,2013
2013-05-28,N07,58,OAP,Shiren,0.1539,Cherry,Cherry Rojo,22,2013
2013-05-28,N07,67,OAP,Felicity,0.3249,Cherry,Cherry Rojo,22,2013
2013-05-28,N07,67,OAP,Pera Roja,0.0941,Mix,Pera,22,2013
2013-05-28,N07,67,OAP,Shiren,0.171,Cherry,Cherry Rojo,22,2013
2013-05-29,N07,67,OAP,Pera Amarilla,0.0855,Mix,Pera,22,2013
2013-05-29,N07,67,OAP,Perla,0.0257,Mix,Cherry Amarillo,22,2013
2013-06-05,N07,50,OSF,Pera Amarilla,0.0855,Mix,Pera,23,2013
2013-06-05,N07,50,OSF,Pera Roja,0.0855,Mix,Pera,23,2013
2013-06-05,N07,50,OSF,Shiren,0.2394,Cherry,Cherry Rojo,23,2013
2013-06-07,N07,63,OSF,Amaí,0.1881,Uva,Uva Roja,23,2013
2013-06-07,N07,63,OSF,Olivia,0.2736,Uva,Uva Roja,23,2013
2013-06-08,N07,66,OAP,Amsterdam,0.0342,Uva,Uva Roja,23,2013
2013-06-08,N07,66,OAP,Felicity,0.1112,Cherry,Cherry Rojo,23,2013
2013-06-08,N07,66,OAP,Honey Bunch,0.1283,Mix,Uva Amarilla,23,2013
2013-06-08,N07,66,OAP,Olivia,0.0513,Uva,Uva Roja,23,2013
2013-06-08,N07,66,OAP,Pera Amarilla,0.0342,Mix,Pera,23,2013
2013-06-08,N07,66,OAP,Pera Roja,0.0428,Mix,Pera,23,2013
2013-06-08,N07,66,OAP,Shiren,0.2138,Cherry,Cherry Rojo,23,2013
2013-06-08,N07,66,OAP,Tangerina Grape,0.0171,Mix,Heirloom Cherry,23,2013
2013-06-10,N05,29,SFB,Felicity,0.192,Cherry,Cherry Rojo,24,2013
2013-06-10,N05,29,SFB,Shiren,0.384,Cherry,Cherry Rojo,24,2013
2013-06-10,N05,30,SFB,Amaí,0.352,Uva,Uva Roja,24,2013
2013-06-10,N05,30,SFB,Amsterdam,0.352,Uva,Uva Roja,24,2013
2013-06-10,N05,30,SFB,Olivia,0.224,Uva,Uva Roja,24,2013
2013-06-14,N02,32,OSF,Amsterdam,0.2052,Uva,Uva Roja,24,2013
2013-06-14,N02,32,OSF,Baby Black Plum,0.0855,Mix,Heirloom Cherry,24,2013
2013-06-14,N02,32,OSF,Black Pear,0.0257,Mix,Heirloom Cherry,24,2013
2013-06-14,N02,32,OSF,Felicity,0.1539,Cherry,Cherry Rojo,24,2013
2013-06-14,N02,32,OSF,Habanero Rojo,0.0684,Mix,Heirloom Cherry,24,2013
2013-06-14,N02,32,OSF,Habanero Tangerina,0.0684,Mix,Heirloom Cherry,24,2013
2013-06-14,N02,32,OSF,Pera Roja,0.0428,Mix,Pera,24,2013
2013-06-14,N02,32,OSF,Perla,0.0171,Mix,Cherry Amarillo,24,2013
2013-06-14,N02,32,OSF,Sweet Treats,0.0342,Mix,Cherry Rosa,24,2013
2013-06-14,N07,50,OSF,Pera Amarilla,0.1197,Mix,Pera,24,2013
2013-06-14,N07,50,OSF,Pera Roja,0.0342,Mix,Pera,24,2013
2013-06-14,N07,64,OAP,Felicity,0.1989,Cherry,Cherry Rojo,24,2013
2013-06-14,N07,64,OAP,Shiren,0.153,Cherry,Cherry Rojo,24,2013
2013-06-15,N07,53,OAP,Olivia,0.8208,Uva,Uva Roja,24,2013
2013-06-15,N07,60,OAP,Amsterdam,0.4104,Uva,Uva Roja,24,2013
2013-06-15,N07,60,OAP,Olivia,0.2052,Uva,Uva Roja,24,2013
2013-06-15,N07,60,OAP,Shiren,0.2052,Cherry,Cherry Rojo,24,2013
2013-06-22,N07,54,OAP,Felicity,0.1539,Cherry,Cherry Rojo,25,2013
2013-06-22,N07,54,OAP,Pera Roja,0.2052,Mix,Pera,25,2013
2013-06-22,N07,54,OAP,Shiren,0.4275,Cherry,Cherry Rojo,25,2013
2013-06-22,N07,59,OAP,Amsterdam,0.7866,Uva,Uva Roja,25,2013
2013-06-26,N02,4,OAP,Amsterdam,0.0684,Uva,Uva Roja,26,2013
2013-06-26,N02,4,OAP,Baby Black Plum,0.077,Mix,Heirloom Cherry,26,2013
2013-06-26,N02,4,OAP,Black Pear,0.0513,Mix,Heirloom Cherry,26,2013
2013-06-26,N02,4,OAP,Black Pear,0.077,Mix,Heirloom Cherry,26,2013
2013-06-26,N02,4,OAP,Felicity,0.1026,Cherry,Cherry Rojo,26,2013
2013-06-26,N02,4,OAP,Habanero Rojo,0.0684,Mix,Heirloom Cherry,26,2013
2013-06-26,N02,4,OAP,Honey Bunch,0.0855,Mix,Uva Amarilla,26,2013
2013-06-26,N02,4,OAP,Olivia,0.0684,Uva,Uva Roja,26,2013
2013-06-26,N02,4,OAP,Pera Amarilla,0.0855,Mix,Pera,26,2013
2013-06-26,N02,4,OAP,Pera Roja,0.0855,Mix,Pera,26,2013
2013-06-26,N02,4,OAP,Perla,0.0513,Mix,Cherry Amarillo,26,2013
2013-06-26,N02,4,OAP,Shiren,0.0513,Cherry,Cherry Rojo,26,2013
2013-06-26,N02,4,OAP,Sweet Treats,0.0855,Mix,Cherry Rosa,26,2013
2013-06-26,N02,4,OAP,Tangerina Grape,0.0855,Mix,Heirloom Cherry,26,2013
2013-06-27,N02,25,OSF,Amsterdam,0.4104,Uva,Uva Roja,26,2013
2013-06-27,N02,25,OSF,Olivia,0.1539,Uva,Uva Roja,26,2013
2013-06-27,N02,26,OSF,Honey Bunch,0.1112,Mix,Uva Amarilla,26,2013
2013-06-27,N02,26,OSF,Pera Amarilla,0.1625,Mix,Pera,26,2013
2013-06-27,N02,26,OSF,Pera Roja,0.1283,Mix,Pera,26,2013
2013-06-27,N02,26,OSF,Shiren,0.3677,Cherry,Cherry Rojo,26,2013
2013-06-28,N07,56,OAP,Amsterdam,0.7524,Uva,Uva Roja,26,2013
2013-06-28,N07,57,OAP,Honey Bunch,0.2736,Mix,Uva Amarilla,26,2013
2013-06-28,N07,57,OAP,Pera Amarilla,0.1026,Mix,Pera,26,2013
2013-06-28,N07,57,OAP,Pera Amarilla,0.2736,Mix,Pera,26,2013
2013-06-28,N07,57,OAP,Pera Roja,0.1026,Mix,Pera,26,2013
2013-06-30,N05,12,SAB,Amsterdam,0.72,Uva,Uva Roja,26,2013
2013-06-30,N05,13,SAB,Felicity,0.738,Cherry,Cherry Rojo,26,2013
2013-06-30,N05,16,SAB,Honey Bunch,0.072,Mix,Uva Amarilla,26,2013
2013-06-30,N05,16,SAB,Pera Amarilla,0.324,Mix,Pera,26,2013
2013-06-30,N05,16,SAB,Pera Roja,0.216,Mix,Pera,26,2013
2013-06-30,N05,18,SAB,Felicity,0.288,Cherry,Cherry Rojo,26,2013
2013-06-30,N05,18,SAB,Shiren,0.486,Cherry,Cherry Rojo,26,2013
2013-07-03,N02,1,OAP,Felicity,0.5184,Cherry,Cherry Rojo,27,2013
2013-07-03,N02,1,OAP,Shiren,0.2754,Cherry,Cherry Rojo,27,2013
2013-07-03,N02,2,OAP,Amsterdam,0.4536,Uva,Uva Roja,27,2013
2013-07-03,N02,3,OAP,Amsterdam,0.4698,Uva,Uva Roja,27,2013
2013-07-09,N02,5,OAP,Amsterdam,0.2907,Uva,Uva Roja,28,2013
2013-07-09,N02,6,OAP,Shiren,0.6584,Cherry,Cherry Rojo,28,2013
2013-07-09,N02,11,OAP,Habanero Rojo,0.171,Mix,Heirloom Cherry,28,2013
2013-07-09,N02,11,OAP,Habanero Tangerina,0.1112,Mix,Heirloom Cherry,28,2013
2013-07-09,N02,12,OAP,Honey Bunch,0.1026,Mix,Uva Amarilla,28,2013
2013-07-09,N02,12,OAP,Olivia,0.3249,Uva,Uva Roja,28,2013
2013-07-09,N02,12,OAP,Pera Amarilla,0.0513,Mix,Pera,28,2013
2013-07-09,N02,12,OAP,Pera Roja,0.2223,Mix,Pera,28,2013
2013-07-10,N02,11,OAP,Amsterdam,0.0086,Uva,Uva Roja,28,2013
2013-07-10,N02,11,OAP,Amsterdam,0.0171,Uva,Uva Roja,28,2013
2013-07-10,N02,11,OAP,Habanero Rojo,0.0257,Mix,Heirloom Cherry,28,2013
2013-07-10,N02,11,OAP,Sweet Treats,0.0171,Mix,Cherry Rosa,28,2013
2013-07-12,N05,9,SAB,Amsterdam,0.666,Uva,Uva Roja,28,2013
2013-07-12,N05,9,SAB,Shiren,0.27,Cherry,Cherry Rojo,28,2013
2013-07-12,N05,20,SFB,Amsterdam,1.064,Uva,Uva Roja,28,2013
2013-07-12,N05,27,SFB,Olivia,0.6232,Uva,Uva Roja,28,2013
2013-07-12,N05,28,SFB,Felicity,0.4104,Cherry,Cherry Rojo,28,2013
2013-07-12,N05,28,SFB,Shiren,0.4408,Cherry,Cherry Rojo,28,2013
2013-07-19,V02,13,VAP,Amsterdam,0.7056,Uva,Uva Roja,29,2013
2013-07-19,V02,16,VAP,Amsterdam,0.12,Uva,Uva Roja,29,2013
2013-07-19,V02,16,VAP,Amsterdam,0.2,Uva,Uva Roja,29,2013
2013-07-19,V02,16,VAP,Olivia,0.4,Uva,Uva Roja,29,2013
2013-07-19,V02,20,VAP,Shiren,0.2024,Cherry,Cherry Rojo,29,2013
2013-07-19,V02,20,VAP,Shiren,0.2392,Cherry,Cherry Rojo,29,2013
2013-07-19,V02,21,VAP,Felicity,0.0516,Cherry,Cherry Rojo,29,2013
2013-07-19,V02,21,VAP,Felicity,0.1376,Cherry,Cherry Rojo,29,2013
2013-07-19,V02,21,VAP,Shiren,0.5504,Cherry,Cherry Rojo,29,2013
2013-07-19,V02,25,VAP,Felicity,0.1892,Cherry,Cherry Rojo,29,2013
2013-07-19,V02,25,VAP,Felicity,0.344,Cherry,Cherry Rojo,29,2013
2013-07-19,V02,25,VAP,Honey Bunch,0.1376,Mix,Uva Amarilla,29,2013
2013-07-22,N05,11,SAB,Felicity,0.342,Cherry,Cherry Rojo,30,2013
2013-07-22,N05,11,SAB,Shiren,0.324,Cherry,Cherry Rojo,30,2013
2013-07-30,N05,19,SAB,Pera Amarilla,0.198,Mix,Pera,31,2013
2013-07-30,N05,19,SAB,Pera Roja,0.144,Mix,Pera,31,2013
2013-07-30,N05,19,SAB,Tangerina Grape,0.432,Mix,Heirloom Cherry,31,2013
2013-08-02,Z18,2,ZJL,Felicity,0.36,Cherry,Cherry Rojo,31,2013
2013-08-02,Z18,2,ZJL,Shiren,0.2813,Cherry,Cherry Rojo,31,2013
2013-08-03,Z17,4,ZJL,Amsterdam,0.81,Uva,Uva Roja,31,2013
2013-08-03,Z17,8,ZJL,Amaí,0.27,Uva,Uva Roja,31,2013
2013-08-03,Z17,8,ZJL,Amsterdam,0.2025,Uva,Uva Roja,31,2013
2013-08-03,Z17,8,ZJL,Honey Bunch,0.1125,Mix,Uva Amarilla,31,2013
2013-08-03,Z17,8,ZJL,Olivia,0.225,Uva,Uva Roja,31,2013
2013-08-07,Z17,3,ZJL,Shiren,0.2588,Cherry,Cherry Rojo,32,2013
2013-08-07,Z17,7,ZJL,Black Pear,0.03,Mix,Heirloom Cherry,32,2013
2013-08-07,Z17,7,ZJL,Habanero Rojo,0.1575,Mix,Heirloom Cherry,32,2013
2013-08-07,Z17,7,ZJL,Pera Amarilla,0.1125,Mix,Pera,32,2013
2013-08-07,Z17,7,ZJL,Pera Roja,0.09,Mix,Pera,32,2013
2013-08-20,Z17,1,ZJL,Amsterdam,0.7088,Uva,Uva Roja,34,2013
2013-08-20,Z17,5,ZJL,Amaí,0.6413,Uva,Uva Roja,34,2013
2013-08-20,Z17,5,ZJL,Felicity,0.1688,Cherry,Cherry Rojo,34,2013
2013-08-21,Z17,7,ZJL,Pera Amarilla,0.135,Mix,Pera,34,2013
2013-08-26,Z17,2,ZJL,Black Pear,0.0225,Mix,Heirloom Cherry,35,2013
2013-08-26,Z17,2,ZJL,Felicity,0.09,Cherry,Cherry Rojo,35,2013
2013-08-26,Z17,2,ZJL,Habanero Tangerina,0.0788,Mix,Heirloom Cherry,35,2013
