iqr,peak_harvest,first_harvest,end_harvest
4,18.17009750812568,12,23
2,16.101398929677966,11,19
3,15.972523440684876,12,20
4,16.54646017699115,11,20
1,14.495412844036696,12,16
4,17.1188034591938,11,20
3,16.20689655172414,12,20
1,16.684546615581098,12,19
1,14.0,12,20
3,15.291139240506329,14,17
2,15.75914952945277,11,20
5,16.388429752066116,12,20
3,15.129589632829374,12,20
2,18.49379652605459,12,20
3,17.420323325635103,13,20
2,14.273098519652883,11,20
1,15.809830382567785,10,19
2,16.817934782608695,10,18
2,15.720689655172414,10,17
2,15.257816909357715,9,18
2,15.53004622496148,10,18
2,15.971428571428572,12,18
3,15.096469458009768,9,18
1,15.64102564102564,12,18
2,16.622437971952536,12,19
3,16.458474004051318,10,19
3,17.121019108280255,10,21
3,17.034848484848485,11,21
0,13.0,13,13
4,16.61084745762712,10,22
3,17.359094457455114,10,23
4,17.20842105263158,12,21
3,17.35070231082918,10,22
1,20.897058823529413,13,22
5,18.12,14,21
3,17.008928571428573,10,22
2,18.650590551181104,10,21
3,16.695550351288055,11,19
1,19.235537190082646,10,22
3,17.06875,11,20
4,16.84431137724551,10,21
1,18.09490156486623,11,21
2,18.754537205081668,11,23
3,19.18549346016647,10,22
2,18.14189189189189,11,22
4,16.393034825870647,9,22
3,16.431616341030196,9,21
4,17.367015098722415,10,22
2,17.000919963201472,10,20
5,15.835051546391753,10,21
3,16.45205479452055,14,20
3,17.482608695652175,10,21
3,16.95045045045045,10,21
2,17.012345679012345,11,20
1,17.9,10,21
3,15.963709677419354,11,19
3,16.665757906215923,11,20
0,14.0,14,14
4,19.05253283302064,15,24
2,19.196787148594378,14,22
5,18.1044921875,14,24
5,17.94871794871795,14,22
4,18.557692307692307,14,22
5,17.80188679245283,14,22
3,19.091463414634145,14,27
2,16.98076923076923,13,20
3,18.295454545454547,14,21
5,19.184745762711863,12,27
3,18.41425389755011,12,27
5,18.99056603773585,13,27
2,18.511904761904763,14,27
2,18.394736842105264,14,27
4,18.59922178988327,12,27
1,17.614035087719298,16,19
6,21.360078277886497,15,28
2,18.47334410339257,15,30
3,16.52376033057851,11,20
3,16.547511312217196,11,20
2,16.595652173913045,10,19
2,16.775374376039935,10,20
2,16.542857142857144,12,18
5,17.617021276595743,14,19
3,19.383490073145246,13,30
3,19.04032258064516,15,30
1,18.20689655172414,16,20
0,19.92387543252595,14,21
2,18.25925925925926,16,19
0,14.0,14,14
3,17.605291005291004,13,20
4,19.22142857142857,15,21
2,18.137710168134507,14,21
3,19.0,16,21
4,18.625050866769758,12,22
2,17.565217391304348,15,20
1,17.359394703657,14,21
3,17.43734074588835,12,20
3,17.142857142857142,15,18
4,17.487215298667813,12,22
2,17.969209738315325,12,22
1,16.30188679245283,15,19
2,17.035291358893186,12,19
4,16.931931000248202,10,21
2,15.94488773427352,11,19
4,15.62589928057554,11,19
3,16.352201257861637,13,19
3,16.925925925925927,13,19
2,16.9121176745272,11,19
2,16.117299463424573,10,19
2,16.120512080084705,10,19
1,16.725477604751966,11,18
3,15.39622641509434,10,17
2,16.401574803149607,10,18
4,15.822033898305085,11,23
4,17.410958904109588,12,23
4,16.51930758988016,11,23
5,17.352941176470587,8,23
3,16.785070785070786,13,22
3,17.63855421686747,14,22
5,18.846153846153847,16,22
5,16.77400787640109,11,23
3,15.936724565756824,12,21
3,17.32347504621072,12,25
3,16.575,13,22
3,16.404761904761905,6,25
3,16.497822931785198,12,21
3,16.462264150943398,12,25
3,16.489795918367346,13,22
4,17.26261489401613,12,23
4,17.428847392144238,12,25
3,16.615384615384617,14,20
5,17.75,14,21
3,16.965745856353593,12,26
4,22.32819722650231,19,25
3,15.964969896004378,11,26
7,18.97457627118644,11,28
6,18.47222222222222,11,26
6,18.541666666666668,11,26
8,19.060606060606062,12,28
3,15.132897603485839,11,22
4,16.72222222222222,11,22
0,13.846153846153847,12,14
2,15.72106824925816,12,24
7,16.764044943820224,11,24
3,15.967532467532468,12,22
8,16.652631578947368,12,22
4,16.708333333333332,13,23
4,15.302848575712144,11,23
8,17.456317689530685,11,22
2,15.264134275618375,11,23
5,16.430571761960326,11,22
4,16.304625199362043,11,23
2,15.013671875,11,23
2,15.460858585858587,11,22
4,15.56206630686199,11,23
4,16.304878048780488,12,23
3,15.034443168771528,11,23
3,15.5,11,20
2,14.333333333333334,13,17
2,15.44,9,18
4,16.093023255813954,12,18
3,15.477042918133472,12,21
0,15.0,15,15
0,15.0,15,15
1,14.922413793103448,12,20
4,15.518055555555556,11,23
5,15.380710659898478,11,20
4,14.993333333333334,13,18
3,15.485507246376812,12,24
7,16.419753086419753,12,24
3,15.76036866359447,11,24
1,17.0,15,18
0,18.733009708737864,14,19
7,17.378653113087676,10,23
4,21.383966244725737,20,24
6,19.053128689492326,15,22
6,20.220858895705522,17,23
4,17.66022480773023,12,21
2,19.84518828451883,14,23
2,15.904,13,22
0,17.0,17,17
2,18.819209039548024,12,23
3,18.255102040816325,12,23
3,18.569444444444443,15,20
5,19.03030303030303,12,23
5,16.571428571428573,12,23
2,18.84328358208955,17,20
5,16.671641791044777,8,20
3,14.89714867617108,10,23
2,14.295283018867925,10,22
4,16.292812777284826,12,20
5,16.748984229736244,12,20
5,15.955089820359282,12,20
4,15.721476510067115,11,20
5,16.24190800681431,12,22
3,18.0,11,22
4,15.629715165511932,10,22
4,17.17384693360365,10,22
8,15.54140127388535,11,23
3,15.444444444444445,11,17
3,16.444444444444443,11,23
3,16.493946731234868,11,21
7,16.40921409214092,11,23
4,18.056818181818183,11,23
5,17.464285714285715,11,23
6,15.175757575757576,11,21
5,16.42962962962963,11,23
4,17.51923076923077,11,23
7,17.561643835616437,11,23
5,16.275,11,23
5,15.929230769230768,11,23
4,18.0,11,22
3,17.21311475409836,12,20
1,15.487804878048781,15,16
4,16.380165289256198,12,21
4,16.1734693877551,11,21
1,17.25925925925926,12,21
4,16.798068481123792,13,21
3,17.177950594693502,11,22
4,15.642411642411643,9,19
7,17.55793991416309,14,22
2,17.6144578313253,11,20
3,18.416107382550337,13,22
3,16.15779981965735,11,21
6,13.627489072365226,9,22
3,18.036619718309858,15,22
4,18.20449438202247,15,22
3,18.42025316455696,16,22
7,13.166441136671176,10,18
7,15.400118203309693,12,20
4,17.899560922063667,14,22
5,17.391006842619745,14,22
3,16.936962750716333,14,21
3,16.573241671073507,12,22
3,16.265921787709498,9,21
4,13.395511921458626,9,19
1,14.662337662337663,14,15
3,16.710743801652892,11,21
2,14.163636363636364,11,19
3,15.505016722408026,12,19
2,14.168539325842696,8,17
3,16.39563862928349,8,20
1,16.0,14,18
2,14.061224489795919,11,15
3,14.806666666666667,11,17
2,15.606060606060606,13,20
2,15.971055088702148,12,19
4,17.811708860759495,14,20
4,17.263274336283185,13,20
3,16.481012658227847,14,21
0,15.0,15,15
3,17.085346215780998,13,21
6,20.364801864801866,10,27
7,19.46441947565543,10,25
0,21.964285714285715,16,26
7,16.99402985074627,10,25
6,15.44007858546169,10,23
3,16.558516801853997,11,26
7,16.83783783783784,14,21
5,18.278937381404173,10,26
5,16.818758815232723,10,26
4,16.833644859813084,11,26
8,18.226173541963014,10,26
4,18.14179104477612,11,22
3,13.286516853932584,10,17
4,14.477917981072554,12,16
1,11.903448275862068,10,17
2,11.87603305785124,10,17
6,13.045454545454545,11,17
7,20.151960784313726,11,27
1,12.129032258064516,11,13
8,21.551592356687898,14,27
6,19.666666666666668,11,26
6,21.196581196581196,13,26
9,19.753846153846155,11,26
6,20.888059701492537,14,26
7,18.56951871657754,12,26
6,20.714285714285715,17,25
6,20.46551724137931,10,26
6,20.642857142857142,12,25
7,19.446153846153845,10,25
7,18.73394495412844,11,24
4,16.673621460506705,11,24
3,16.663492063492065,11,24
3,15.029411764705882,11,19
8,16.871794871794872,12,23
2,16.252525252525253,11,23
6,17.666666666666668,11,23
8,17.616541353383457,11,23
2,15.28090539756239,11,19
2,14.102502017756255,11,17
5,15.375816993464053,11,20
3,15.746957078795644,12,19
3,14.934010152284264,11,18
3,15.737704918032787,11,19
3,15.451807228915662,11,19
1,15.294642857142858,13,18
4,16.015151515151516,11,20
2,14.959537572254336,11,18
2,14.859504132231406,11,19
3,15.163835616438357,11,18
3,15.07157845651667,11,19
3,14.08941605839416,11,17
1,13.071895424836601,10,15
2,14.88089108910891,9,18
3,13.88512895555149,9,17
2,14.914634146341463,13,17
2,14.549403183023873,10,17
3,13.818181818181818,12,16
2,15.075332348596751,12,17
3,17.889679715302492,15,21
6,17.430523917995444,12,22
4,17.683229813664596,15,22
3,16.695121951219512,13,20
3,20.076923076923077,15,22
3,18.20873786407767,15,22
0,15.25,15,16
4,18.738916256157637,11,22
3,18.179624664879356,11,22
3,15.134328358208956,11,17
2,17.90788267644363,12,22
2,17.875757575757575,14,23
4,17.530155083285468,13,23
2,17.329317269076306,12,20
2,17.364864864864863,14,19
5,18.312775330396477,14,22
4,17.23358512492737,11,23
4,17.040032025620498,12,21
3,16.80392156862745,11,23
2,19.862068965517242,19,21
2,16.76575542247184,12,23
4,18.84634346754314,14,25
7,18.428571428571427,14,22
7,21.31924882629108,15,25
2,19.044921875,15,23
3,21.824034334763947,20,24
2,15.840909090909092,13,18
2,15.0,11,18
3,18.382775119617225,11,21
3,18.33613445378151,11,21
3,16.603448275862068,14,20
2,19.246913580246915,13,21
0,16.25,11,17
2,16.765432098765434,12,20
1,16.68421052631579,13,18
2,17.027522935779817,11,21
2,17.936046511627907,13,21
2,16.821428571428573,12,18
3,17.224917309812568,11,21
2,14.934707903780069,13,18
2,16.280230326295584,11,20
2,16.412667946257198,11,21
4,20.966162065894924,12,27
3,20.35509904622157,12,27
0,15.793103448275861,12,16
3,19.933333333333334,15,27
3,20.65429403202329,12,29
5,20.499655410062026,15,25
5,19.261785356068206,13,27
2,19.210526315789473,14,23
3,19.768932465061827,14,23
4,18.9631789053472,14,26
6,18.95213849287169,12,25
5,20.14188034188034,15,27
0,16.0,16,16
4,17.821192052980134,14,21
5,18.98701298701299,14,22
6,18.79110651499483,12,23
0,14.0,14,14
5,19.666044776119403,13,26
4,19.64555052790347,14,26
4,19.720739219712527,13,25
3,19.430555555555557,15,23
0,15.89655172413793,15,16
4,20.099630996309962,15,23
3,19.586330935251798,15,23
7,19.054607508532424,15,23
2,20.658767772511847,15,23
2,19.92792792792793,15,25
3,19.9625,15,25
2,19.946902654867255,15,25
3,21.294736842105262,18,25
7,19.071428571428573,16,23
3,17.033177812338,14,23
1,19.08770979967515,15,22
4,19.555649957519115,17,21
4,18.292173560421734,13,29
0,13.0,13,13
2,15.939297124600639,13,27
4,17.650027327382038,12,24
0,17.227272727272727,13,27
7,18.269393511988717,12,26
5,19.27426160337553,13,24
4,19.095238095238095,13,23
5,17.665735567970206,12,25
6,17.21518987341772,12,23
3,16.55037783375315,13,26
4,15.816155988857938,12,21
0,15.841726618705035,14,17
7,15.15,12,19
2,15.163537043359508,10,21
1,12.362962962962962,11,13
3,16.261682242990656,10,26
5,14.232558139534884,11,24
3,17.778541953232462,11,26
2,16.81374210445232,10,27
4,15.862888482632542,12,21
3,16.00124792013311,10,24
2,17.977777777777778,17,19
2,13.031007751937985,11,15
4,14.115424973767052,10,20
2,15.049689440993788,11,19
3,15.67251461988304,11,21
2,16.402764976958526,13,26
3,15.975283048955509,11,26
4,13.157894736842104,10,16
0,20.0,20,20
1,14.188115763546797,11,17
2,13.748677248677248,10,19
2,14.083215796897038,11,24
4,15.111437733832176,10,24
2,13.577181208053691,12,17
2,15.563640176137556,10,24
4,16.245686113393592,12,26
3,14.886524822695035,11,21
5,16.15625,11,25
5,16.686567164179106,13,21
1,15.701754385964913,10,21
5,16.221824686940966,11,22
0,20.0,20,20
1,13.584960231381055,11,20
6,15.222969941677883,10,22
4,14.370747512149965,10,25
1,13.324715845776689,9,17
4,15.414497096834614,10,24
1,14.431189427312775,10,19
2,13.931034482758621,9,18
5,13.933758978451715,6,17
0,17.0,17,17
1,15.217391304347826,12,19
0,15.355828220858896,14,24
1,13.647887323943662,9,16
9,14.352212389380531,10,24
2,13.082788671023964,10,18
4,16.21234221598878,10,25
5,15.628149435273675,11,25
0,18.702479338842974,18,23
2,14.118881118881118,12,25
2,16.88041163946061,11,23
4,18.505102040816325,12,22
3,15.834148727984344,12,24
3,15.535483870967742,10,24
1,15.73076923076923,12,24
4,13.652991452991452,9,20
3,16.169722614010343,12,24
5,14.996157540826129,11,18
3,15.558033161806748,10,20
4,16.54617737003058,12,25
4,16.722512481133172,5,24
3,14.035435746415974,10,23
3,13.964630225080386,10,23
2,13.788844621513944,12,16
2,14.30972247975771,10,23
3,13.316323873991148,11,17
4,17.18285714285714,10,24
5,15.384912959381044,11,22
9,20.054545454545455,14,25
5,15.724839400428266,9,24
4,15.362886597938145,13,22
1,15.403174603174604,14,23
5,16.31013916500994,13,24
0,20.0,20,20
3,15.508403361344538,12,24
2,16.455375006099644,14,24
4,16.008163265306123,13,25
4,18.47244094488189,16,24
3,15.805555555555555,9,24
1,14.147058823529411,13,19
4,16.94913043478261,13,25
5,15.794621026894866,12,23
3,16.60154738878143,11,24
2,17.12121212121212,15,23
0,15.941176470588236,14,23
3,15.104109589041096,12,23
4,15.40798611111111,11,25
2,18.615384615384617,14,21
1,16.48,14,17
3,15.761467889908257,14,20
2,14.506105006105006,13,22
1,12.663594470046084,6,19
2,13.211717709720373,9,20
5,15.142105263157895,11,24
0,14.181818181818182,8,23
4,13.354443967367969,7,24
2,16.048672566371682,14,18
2,16.235294117647058,14,18
4,15.153726708074535,9,22
3,14.19903433476395,11,21
0,18.0,18,18
1,13.764836795252226,12,21
6,15.54330312185297,11,23
4,17.23170731707317,13,21
3,16.691318327974276,13,22
2,16.5,13,22
4,15.740560292326432,12,22
2,17.7,14,22
6,17.193423597678915,12,27
6,19.25337837837838,10,27
6,17.79937304075235,10,24
3,16.380281690140844,12,22
7,17.566093657379966,10,24
7,17.88372093023256,10,23
6,19.07391304347826,10,23
5,18.606201550387595,10,23
1,20.803370786516854,12,24
4,18.903225806451612,11,24
3,16.894117647058824,13,22
2,15.146666666666667,11,18
6,17.4,12,21
3,19.794736842105262,11,24
5,17.939393939393938,12,22
6,17.611380985426788,11,22
3,15.887096774193548,11,20
0,17.727272727272727,15,18
6,19.055187637969095,10,23
7,17.41176470588235,13,21
1,13.12,12,14
7,19.178947368421053,16,23
6,18.783783783783782,14,22
6,17.547169811320753,11,22
3,15.76056338028169,11,18
6,17.75,10,21
5,18.91780821917808,11,22
0,19.121387283236995,13,21
3,18.466796875,11,23
5,18.842964824120603,10,27
2,16.0,15,17
7,19.5,13,25
3,19.03125,11,23
4,17.434782608695652,15,19
1,18.210526315789473,17,19
4,18.717391304347824,11,23
4,17.695652173913043,11,21
5,16.433333333333334,10,22
3,17.98936170212766,14,23
3,17.885714285714286,12,23
7,18.6,11,23
3,14.866666666666667,12,16
3,18.88888888888889,14,22
4,17.695121951219512,10,22
3,18.71875,12,23
5,20.07547169811321,13,26
5,18.74515503875969,11,26
2,16.647058823529413,14,18
5,18.625,11,22
0,15.0,15,15
2,13.92356687898089,10,16
1,14.413191076624637,10,16
1,13.414765100671142,10,15
1,13.791666666666666,10,16
3,15.709944751381215,11,21
2,14.646153846153846,10,16
3,15.5,12,20
3,15.77561061324899,10,21
5,17.044198895027623,11,20
3,16.46694214876033,12,20
4,17.287610619469028,10,22
1,14.258064516129032,10,17
2,14.83743842364532,10,21
2,14.959183673469388,11,19
3,15.583710407239819,12,19
2,14.737547892720306,11,19
2,15.629327902240325,11,18
3,15.340182648401827,11,18
2,14.494623655913978,11,16
2,14.929347826086957,11,19
1,18.69,17,22
5,18.26715462031107,11,23
3,18.287128712871286,13,21
3,18.289587852494577,11,22
1,15.64423076923077,14,20
2,17.536036036036037,11,20
2,17.564285714285713,11,21
2,17.87290640394089,13,22
2,17.977839335180054,12,20
2,16.995594713656388,10,21
2,17.502202643171806,13,21
2,17.175675675675677,13,19
3,16.774834437086092,10,20
2,16.951612903225808,12,19
2,17.363799283154123,10,21
4,17.79960899315738,10,20
2,17.78110599078341,10,21
2,17.204379562043794,13,19
2,17.417989417989418,12,19
1,15.680257510729614,10,19
0,13.0,13,13
0,13.176470588235293,10,16
4,18.95212285456188,14,24
3,18.09071729957806,15,26
4,19.493457943925232,15,23
4,19.876796714579054,15,23
2,18.17058823529412,15,22
3,19.027397260273972,15,24
3,19.567164179104477,15,30
3,19.68,15,23
4,19.942857142857143,15,24
1,18.455555555555556,16,23
3,20.59259259259259,15,24
4,17.106592729513245,11,22
3,17.45966709346991,14,21
3,16.983091787439612,12,22
4,16.84731182795699,14,21
3,16.711666666666666,9,21
3,16.326599326599325,13,20
2,17.20625,12,22
4,17.52093023255814,14,20
4,15.726027397260275,12,20
0,15.08695652173913,12,16
2,16.244712990936556,12,19
5,16.181818181818183,13,18
2,16.98230088495575,12,19
2,17.054054054054053,12,19
3,16.4688995215311,11,19
1,16.483383685800604,12,18
2,16.748091603053435,12,19
2,15.404255319148936,11,19
2,16.177835051546392,11,19
2,16.67142857142857,12,19
1,14.25,12,15
5,20.777526821005083,14,29
2,15.441176470588236,14,16
6,20.37730061349693,12,27
6,20.093632958801496,12,27
7,20.566666666666666,13,27
7,19.53488372093023,12,31
1,16.559405940594058,14,23
7,18.442307692307693,13,27
3,15.443002780352177,11,20
3,15.527450980392157,12,19
2,15.017429193899781,10,18
3,15.342465753424657,11,19
3,15.933333333333334,11,20
1,16.271604938271604,11,19
2,15.116910229645095,11,19
2,14.849514563106796,11,18
4,17.08108108108108,14,23
3,17.092307692307692,11,23
8,20.41549295774648,11,26
3,16.822222222222223,12,20
1,17.814285714285713,13,21
4,16.64748201438849,13,18
6,17.9247311827957,11,23
6,19.723684210526315,11,23
1,15.714285714285714,14,19
3,16.976470588235294,11,21
2,15.23391812865497,11,18
6,17.929942418426105,11,24
5,16.933333333333334,11,21
0,13.0,13,13
5,16.926788685524127,11,19
2,21.544147843942504,12,27
5,18.60889929742389,14,27
5,16.966480446927374,12,19
4,19.714285714285715,14,27
0,18.887096774193548,12,19
5,21.37142857142857,16,25
5,22.053571428571427,19,27
5,21.691358024691358,19,25
6,21.698005698005698,14,27
2,19.455357142857142,16,21
2,17.40909090909091,16,19
6,17.66588511137163,12,24
3,19.53846153846154,14,25
1,21.41860465116279,20,27
3,18.238095238095237,14,28
